,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
23,23,485.4910888671875,2022-11-11 04:51:29.091296,2022-11-11 05:05:46.496515,0 days 00:14:17.405219,<class 'torch.nn.modules.activation.LeakyReLU'>,64,10000,0.95,0.00018886578724485692,medium,0.4130851460659022,,0.01,16,PRUNED
24,24,-1059.450439453125,2022-11-11 05:05:46.496515,2022-11-11 05:20:15.960879,0 days 00:14:29.464364,<class 'torch.nn.modules.activation.LeakyReLU'>,100,1000000,0.95,1.0962869095301677e-05,medium,0.5879870720284096,,0.08,512,PRUNED
25,25,926.6063842773438,2022-11-11 05:20:15.968918,2022-11-11 05:35:03.516888,0 days 00:14:47.547970,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.95,0.017306654003928813,small,0.023621503527103627,ornstein-uhlenbeck,0.005,256,PRUNED
26,26,1201.7421875,2022-11-11 05:35:03.516888,2022-11-11 07:47:42.880395,0 days 02:12:39.363507,<class 'torch.nn.modules.activation.Tanh'>,2048,1000000,0.995,3.569764025458141e-05,medium,0.42542116566173194,,0.02,4,COMPLETE
27,27,767.277587890625,2022-11-11 07:47:42.888434,2022-11-11 08:29:02.856661,0 days 00:41:19.968227,<class 'torch.nn.modules.activation.ELU'>,2048,10000,0.98,0.006265810792215725,big,0.7267473925804249,normal,0.001,4,PRUNED
28,28,3590.24462890625,2022-11-11 08:29:02.858703,2022-11-11 10:26:10.520762,0 days 01:57:07.662059,<class 'torch.nn.modules.activation.LeakyReLU'>,1024,100000,0.9,9.117644504018357e-05,medium,0.3053148496942979,,0.05,512,COMPLETE
29,29,-34.23390197753906,2022-11-11 10:26:10.522793,2022-11-11 10:41:32.956018,0 days 00:15:22.433225,<class 'torch.nn.modules.activation.LeakyReLU'>,1024,100000,0.9,0.25732896813664546,small,0.10782864428536526,ornstein-uhlenbeck,0.001,64,PRUNED
30,30,-2291.83740234375,2022-11-11 10:41:32.964131,2022-11-11 10:55:24.583141,0 days 00:13:51.619010,<class 'torch.nn.modules.activation.LeakyReLU'>,32,100000,0.9,0.5549965218091506,small,0.27722939785398154,,0.01,256,PRUNED
31,31,1181.0146484375,2022-11-11 10:55:24.583141,2022-11-11 11:13:58.423389,0 days 00:18:33.840248,<class 'torch.nn.modules.activation.LeakyReLU'>,1024,100000,0.9,7.888168820972466e-05,medium,0.3483102660817208,,0.05,512,PRUNED
32,32,-1421.851806640625,2022-11-11 11:13:58.423389,2022-11-11 11:32:33.483627,0 days 00:18:35.060238,<class 'torch.nn.modules.activation.LeakyReLU'>,1024,100000,0.9,0.00033990518041078044,medium,0.5472332660726623,,0.05,512,PRUNED
33,33,528.934814453125,2022-11-11 11:32:33.483627,2022-11-11 11:47:44.013637,0 days 00:15:10.530010,<class 'torch.nn.modules.activation.LeakyReLU'>,256,100000,0.99,2.3057284494646973e-05,medium,0.4900620961320281,,0.05,32,PRUNED
34,34,-5003.69384765625,2022-11-11 11:47:44.013637,2022-11-11 12:08:39.800902,0 days 00:20:55.787265,<class 'torch.nn.modules.activation.ReLU'>,2048,1000000,0.999,8.868617149436306e-05,medium,0.2382213690151746,,0.05,512,PRUNED
35,35,-2717.67138671875,2022-11-11 12:08:39.800902,2022-11-11 12:22:33.212607,0 days 00:13:53.411705,<class 'torch.nn.modules.activation.LeakyReLU'>,64,10000,0.9999,0.0009457088305247466,small,0.36098137621998394,,0.01,256,PRUNED
36,36,3457.0390625,2022-11-11 12:22:33.212607,2022-11-11 14:44:34.107080,0 days 02:22:00.894473,<class 'torch.nn.modules.activation.ELU'>,1024,1000000,0.99,0.0004885420976197043,medium,0.11760876677299434,ornstein-uhlenbeck,0.05,4,COMPLETE
37,37,3863.9921875,2022-11-11 14:44:34.107080,2022-11-11 17:05:24.670372,0 days 02:20:50.563292,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.0005325888054839973,medium,0.1460420651061875,ornstein-uhlenbeck,0.05,4,COMPLETE
