,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_sde_sample_freq,params_vf_coef,state
22,22,-1346.2568359375,2022-10-20 07:00:44.222087,2022-10-20 07:20:57.984448,0 days 00:20:13.762361,tanh,64,0.1,0.0023252432712226124,0.92,0.999,0.002603323645134974,-1.4587746589010055,1.0,10,1024,small,True,64,0.5246798280560503,PRUNED
23,23,-696.929931640625,2022-10-20 07:20:57.984448,2022-10-20 07:27:50.238785,0 days 00:06:52.254337,tanh,64,0.1,0.015229563951684535,0.92,0.999,0.07399928290295042,-0.8861009471214825,1.0,10,2048,small,True,64,0.36691639225923334,PRUNED
24,24,3648.26611328125,2022-10-20 07:27:50.254411,2022-10-20 08:54:45.691947,0 days 01:26:55.437536,tanh,16,0.1,0.0005228111723381498,0.92,0.999,0.003912282319947503,0.218103562107403,0.6,10,16,small,True,64,0.668981745045462,COMPLETE
25,25,1554.9755859375,2022-10-20 08:54:45.691947,2022-10-20 10:21:42.449694,0 days 01:26:56.757747,tanh,16,0.2,0.00037922346103298163,0.92,0.999,0.00075385395275379,0.36762320864380166,0.6,10,128,small,True,64,0.7993185162866165,COMPLETE
26,26,-536.95068359375,2022-10-20 10:21:42.449694,2022-10-20 10:35:51.123730,0 days 00:14:08.674036,relu,16,0.4,0.0033079088476456048,0.98,0.99,0.0001902334604003466,-0.4096114534068036,0.6,1,8,small,True,32,0.6801240048746053,PRUNED
27,27,3098.41162109375,2022-10-20 10:35:51.123730,2022-10-20 12:49:58.456654,0 days 02:14:07.332924,elu,16,0.3,0.02747573619430979,1.0,0.9999,7.930727846187407e-05,0.3321352065652965,2.0,20,8,big,True,16,0.772033033190244,COMPLETE
28,28,214.9152069091797,2022-10-20 12:49:58.458685,2022-10-20 13:23:10.956348,0 days 00:33:12.497663,elu,16,0.3,0.022687798509531086,1.0,0.9999,4.4301527772832336e-05,0.32348374112131567,2.0,20,8,big,False,16,0.9423679270794947,PRUNED
29,29,3407.0791015625,2022-10-20 13:23:10.956348,2022-10-20 15:12:45.450458,0 days 01:49:34.494110,elu,256,0.3,0.0001822826411586212,1.0,0.9,3.619972056278042e-05,0.9257303325663114,2.0,20,16,big,False,256,0.7744300567304568,COMPLETE
30,30,833.6954345703125,2022-10-20 15:12:45.458500,2022-10-20 15:39:53.541925,0 days 00:27:08.083425,elu,256,0.3,0.00016881769956805115,1.0,0.9,2.2986569477282926e-05,0.8049905998637852,0.9,20,16,big,False,256,0.17073869689995566,PRUNED
31,31,3546.353759765625,2022-10-20 15:39:53.541925,2022-10-20 17:28:37.074477,0 days 01:48:43.532552,elu,256,0.3,0.09564652704527404,1.0,0.9,8.043558146035907e-05,0.2176495856162118,2.0,20,16,big,False,256,0.764493684473273,COMPLETE
32,32,826.3343505859375,2022-10-20 17:28:37.074477,2022-10-20 17:55:47.325280,0 days 00:27:10.250803,elu,256,0.3,0.08613357952874895,1.0,0.9,3.418562140171106e-05,-0.04290713210448441,2.0,20,16,big,False,256,0.9020644139037728,PRUNED
33,33,1047.757568359375,2022-10-20 17:55:47.325280,2022-10-20 18:22:53.395888,0 days 00:27:06.070608,elu,256,0.3,2.1155149896711254e-05,1.0,0.9,0.00013064478303671716,0.5823772420430391,2.0,20,16,big,False,256,0.7668225200244869,PRUNED
34,34,-651.5271606445312,2022-10-20 18:22:53.395888,2022-10-20 18:41:11.192104,0 days 00:18:17.796216,elu,256,0.3,1.010404766496173e-06,1.0,0.9,1.3774603327474008e-05,-2.120977084188665,0.6,20,16,big,False,256,0.6392254810966341,PRUNED
35,35,-232.60679626464844,2022-10-20 18:41:11.192104,2022-10-20 18:59:57.695075,0 days 00:18:46.502971,elu,256,0.3,0.0004096754209948828,0.99,0.9,0.0008198206766625982,0.9821840526752098,2.0,20,16,big,False,256,0.8353295156697758,PRUNED
36,36,329.7848815917969,2022-10-20 18:59:57.695075,2022-10-20 19:32:41.324347,0 days 00:32:43.629272,leaky_relu,8,0.2,5.123260430240505e-05,0.95,0.98,1.0047834778895288e-05,-0.3956098211972773,2.0,20,16,big,False,8,0.7346134584816243,PRUNED
