train/actor_loss,time/episodes,train/n_updates,time/fps,time/total_timesteps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean
,304,,26,29184,,1100,2319.4277,,96.0
-670.1155490875244,308,29824,26,29952,1783.8637828826904,1129,2322.4526,0.0018832140971657787,96.0
,312,,26,29952,,1129,2322.4526,,96.0
-672.4600429534912,316,30592,26,30720,1820.8117542266846,1158,2331.3782,0.0018832140971657787,96.0
,320,,26,30720,,1158,2331.3782,,96.0
-669.8823375701904,324,31360,26,31488,1760.464189529419,1187,2344.3901,0.0018832140971657787,96.0
,328,,26,31488,,1187,2344.3901,,96.0
-667.1671867370605,332,32128,26,32256,1804.6822090148926,1216,2356.5967,0.0018832140971657787,96.0
,336,,26,32256,,1216,2356.5967,,96.0
-662.7401256561279,340,32896,26,33024,1808.3767127990723,1246,2364.5857,0.0018832140971657787,96.0
,344,,26,33024,,1246,2364.5857,,96.0
-673.5092639923096,348,33664,26,33792,1792.276891708374,1275,2369.0852,0.0018832140971657787,96.0
,352,,26,33792,,1275,2369.0852,,96.0
-675.2915630340576,356,34432,26,34560,1882.8165321350098,1304,2378.438,0.0018832140971657787,96.0
,360,,26,34560,,1304,2378.438,,96.0
-676.180341720581,364,35200,26,35328,1851.0451221466064,1333,2382.4854,0.0018832140971657787,96.0
,368,,26,35328,,1333,2382.4854,,96.0
-665.0558338165283,372,35968,26,36096,1824.8388938903809,1362,2385.8354,0.0018832140971657787,96.0
,376,,26,36096,,1362,2385.8354,,96.0
-662.3131675720215,380,36736,26,36864,1840.9685668945312,1391,2401.2393,0.0018832140971657787,96.0
,384,,26,36864,,1391,2401.2393,,96.0
-661.0775566101074,388,37504,26,37632,1846.7823848724365,1420,2418.81,0.0018832140971657787,96.0
,392,,26,37632,,1420,2418.81,,96.0
-664.9704189300537,396,38272,26,38400,1867.7587776184082,1450,2420.1604,0.0018832140971657787,96.0
,400,,26,38400,,1450,2420.1604,,96.0
-666.3605194091797,404,39040,26,39168,1907.070852279663,1478,2423.4282,0.0018832140971657787,96.0
,408,,26,39168,,1478,2423.4282,,96.0
-665.0129699707031,412,39808,26,39936,1959.543207168579,1507,2423.462,0.0018832140971657787,96.0
,416,,26,39936,,1507,2423.462,,96.0
-668.5314178466797,420,40576,26,40704,1942.145938873291,1536,2421.4248,0.0018832140971657787,96.0
,424,,26,40704,,1536,2421.4248,,96.0
-659.7786178588867,428,41344,26,41472,2000.200267791748,1565,2420.0193,0.0018832140971657787,96.0
,432,,26,41472,,1565,2420.0193,,96.0
-659.5538005828857,436,42112,26,42240,2005.325677871704,1594,2419.1748,0.0018832140971657787,96.0
,440,,26,42240,,1594,2419.1748,,96.0
-654.1978244781494,444,42880,26,43008,2016.393404006958,1623,2414.18,0.0018832140971657787,96.0
,448,,26,43008,,1623,2414.18,,96.0
-652.5593662261963,452,43648,26,43776,1967.9038829803467,1652,2422.2393,0.0018832140971657787,96.0
,456,,26,43776,,1652,2422.2393,,96.0
-643.1802921295166,460,44416,26,44544,2015.2313957214355,1681,2418.846,0.0018832140971657787,96.0
,464,,26,44544,,1681,2418.846,,96.0
-640.1991443634033,468,45184,26,45312,2062.01863861084,1709,2422.4802,0.0018832140971657787,96.0
,472,,26,45312,,1709,2422.4802,,96.0
-638.3292713165283,476,45952,26,46080,2060.6057205200195,1738,2422.634,0.0018832140971657787,96.0
,480,,26,46080,,1738,2422.634,,96.0
-627.1929244995117,484,46720,26,46848,2075.3254108428955,1767,2416.3706,0.0018832140971657787,96.0
,488,,26,46848,,1767,2416.3706,,96.0
-623.1062602996826,492,47488,26,47616,2078.9184074401855,1796,2413.7117,0.0018832140971657787,96.0
,496,,26,47616,,1796,2413.7117,,96.0
-614.6681213378906,500,48256,26,48384,2043.2694854736328,1825,2412.787,0.0018832140971657787,96.0
,504,,26,48384,,1825,2412.787,,96.0
-601.8651027679443,508,49024,26,49152,2031.610149383545,1855,2413.6416,0.0018832140971657787,96.0
,512,,26,49152,,1855,2413.6416,,96.0
-596.1052742004395,516,49792,26,49920,2076.3872776031494,1883,2419.204,0.0018832140971657787,96.0
,520,,26,49920,,1883,2419.204,,96.0
-591.7692489624023,524,50560,26,50688,1985.7979259490967,1912,2426.6865,0.0018832140971657787,96.0
,528,,26,50688,,1912,2426.6865,,96.0
-578.8336143493652,532,51328,26,51456,2091.4515018463135,1941,2436.599,0.0018832140971657787,96.0
,536,,26,51456,,1941,2436.599,,96.0
-579.0906734466553,540,52096,26,52224,2030.3986129760742,1970,2442.3716,0.0018832140971657787,96.0
,544,,26,52224,,1970,2442.3716,,96.0
-576.5608062744141,548,52864,26,52992,2046.1195449829102,1999,2446.0571,0.0018832140971657787,96.0
,552,,26,52992,,1999,2446.0571,,96.0
-579.398265838623,556,53632,26,53760,2083.534683227539,2028,2455.7834,0.0018832140971657787,96.0
,560,,26,53760,,2028,2455.7834,,96.0
-582.0235347747803,564,54400,26,54528,2116.157278060913,2057,2452.7542,0.0018832140971657787,96.0
,568,,26,54528,,2057,2452.7542,,96.0
-576.5728435516357,572,55168,26,55296,2129.3980236053467,2086,2450.2793,0.0018832140971657787,96.0
,576,,26,55296,,2086,2450.2793,,96.0
