rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps
-2736.4207,4,96.0,768,17,42
-2736.4207,8,96.0,768,17,42
-2718.042,12,96.0,1536,35,42
-2718.042,16,96.0,1536,35,42
-2715.01,20,96.0,2304,53,42
-2715.01,24,96.0,2304,53,42
-2741.7896,28,96.0,3072,72,42
-2741.7896,32,96.0,3072,72,42
