train/actor_loss,time/episodes,train/n_updates,time/fps,time/total_timesteps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean
-63.265236258506775,4,640,27,768,683.3665060997009,27,-302.98236,0.0018832140971657787,96.0
,8,,27,768,,27,-302.98236,,96.0
-138.573970079422,12,1408,27,1536,288.2753562927246,56,-1017.98096,0.0018832140971657787,96.0
,16,,27,1536,,56,-1017.98096,,96.0
-439.64617252349854,20,2176,27,2304,853.1601343154907,85,-93.01548,0.0018832140971657787,96.0
,24,,27,2304,,85,-93.01548,,96.0
-731.7512950897217,28,2944,26,3072,2936.303919315338,113,196.2685,0.0018832140971657787,96.0
,32,,26,3072,,113,196.2685,,96.0
