rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps
-1096.0242,4,96.0,768,18,41
-1096.0242,8,96.0,768,18,41
-1114.2362,12,96.0,1536,36,42
-1114.2362,16,96.0,1536,36,42
-1135.0392,20,96.0,2304,54,42
-1135.0392,24,96.0,2304,54,42
-1122.0837,28,96.0,3072,72,42
-1122.0837,32,96.0,3072,72,42
