rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate
-2833.8638,768,18,96.0,41,4,,,,
-2833.8638,768,18,96.0,41,8,,,,
-2893.8218,1536,36,96.0,41,12,,,,
-2893.8218,1536,36,96.0,41,16,,,,
-2647.1814,2304,140,96.0,16,20,-24.950826051150216,2048,685.0644202753901,0.0022882963659741056
-2647.1814,2304,140,96.0,16,24,,,,
-2810.7686,3072,158,96.0,19,28,,,,
-2810.7686,3072,158,96.0,19,32,,,,
-2908.1929,3840,176,96.0,21,36,,,,
-2908.1929,3840,176,96.0,21,40,,,,
