time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,1,64,43,,,,,,,,,,,,,
2,2,128,42,-14.906227302551269,0.028151687,5,-0.0014940500259399414,0.0010553559311956718,3297.5314453125,0.453125,0.9374463558197021,0.1,-0.054347455501556396,2698.924560546875,,
3,4,192,42,-14.89533348083496,0.022882326,10,0.0013155341148376465,0.0010553559311956718,495.9284606933594,0.415625,0.9371866583824158,0.1,-0.04633340239524841,402.1676940917969,,
4,6,256,42,-14.891472625732423,0.013271091,15,0.01686006784439087,0.0010553559311956718,425.7314453125,0.2875,0.9362925887107849,0.1,-0.038777151703834535,342.2458801269531,,
5,7,320,42,-14.884002494812012,0.012520613,20,0.019541561603546143,0.0010553559311956718,476.2426391601563,0.25,0.9363729357719421,0.1,-0.03574026115238667,383.5007629394531,,
6,9,384,42,-14.883609008789062,0.011403931,25,-0.010121822357177734,0.0010553559311956718,482.2710327148437,0.209375,0.936066210269928,0.1,-0.031377581506967546,387.14544677734375,,
7,10,448,41,-14.879603576660156,0.019180564,30,-0.0051375627517700195,0.0010553559311956718,469.9210510253906,0.29375,0.9357286691665649,0.1,-0.0318974032998085,375.79986572265625,,
8,12,512,41,-14.876406478881837,0.012191099,35,0.04049652814865112,0.0010553559311956718,458.574365234375,0.1875,0.9356538653373718,0.1,-0.024745434522628784,367.0531921386719,,
9,13,576,41,-14.87535800933838,0.010480084,40,0.05311340093612671,0.0010553559311956718,500.1320373535156,0.184375,0.9354210495948792,0.1,-0.024699593149125575,401.1084289550781,,
10,15,640,41,-14.872074127197266,0.011580539,45,0.031465768814086914,0.0010553559311956718,533.1238525390625,0.203125,0.9352343082427979,0.1,-0.032279621064662936,428.2950134277344,,
11,16,704,41,-14.872604751586914,0.008185309,50,-0.04936099052429199,0.0010553559311956718,518.249609375,0.1625,0.9357003569602966,0.1,-0.024417155981063844,414.3245849609375,,
12,18,768,41,-14.88008804321289,0.0055117644,55,0.013063311576843262,0.0010553559311956718,527.2872802734375,0.115625,0.9365678429603577,0.1,-0.02483510635793209,423.425537109375,96.0,-507.9237
13,19,832,41,-14.891187286376953,0.0071241427,60,-0.02135610580444336,0.0010553559311956718,478.72942504882815,0.1625,0.9375749826431274,0.1,-0.025547115504741667,384.1802673339844,96.0,-507.9237
14,21,896,41,-14.901766967773437,0.0052059544,65,0.0012236237525939941,0.0010553559311956718,3155.453369140625,0.11875,0.9383100271224976,0.1,-0.01740460582077503,2577.548828125,96.0,-507.9237
15,22,960,41,-14.910125160217286,0.00569933,70,-0.18022656440734863,0.0010553559311956718,569.5956176757812,0.109375,0.9391040205955505,0.1,-0.019575809687376024,468.4951477050781,96.0,-507.9237
16,24,1024,41,-14.917132568359374,0.002766895,75,0.0033535361289978027,0.0010553559311956718,540.85166015625,0.05,0.9391699433326721,0.1,-0.018500301986932755,435.7948913574219,96.0,-507.9237
17,25,1088,41,-14.915007781982421,0.0059256162,80,-0.4150797128677368,0.0010553559311956718,584.8304931640625,0.10625,0.9389268755912781,0.1,-0.023820408061146735,467.6255187988281,96.0,-507.9237
18,27,1152,41,-14.910603332519532,0.006585533,85,0.189994215965271,0.0010553559311956718,494.2716369628906,0.121875,0.9382168054580688,0.1,-0.02745277527719736,398.80157470703125,96.0,-507.9237
19,29,1216,41,-14.901726150512696,0.008097656,90,0.24232155084609985,0.0010553559311956718,479.25324096679685,0.159375,0.9377844333648682,0.1,-0.025981676951050758,387.2956237792969,96.0,-507.9237
20,30,1280,41,-14.89797248840332,0.010048055,95,0.3284375071525574,0.0010553559311956718,497.7283935546875,0.18125,0.9373098015785217,0.1,-0.029659484699368476,402.5306091308594,96.0,-507.9237
21,32,1344,41,-14.890399169921874,0.004771036,100,0.20430976152420044,0.0010553559311956718,521.9615661621094,0.090625,0.9365606307983398,0.1,-0.024532367661595344,418.5959167480469,96.0,-507.9237
22,33,1408,41,-14.882312774658203,0.0036566397,105,-0.05112731456756592,0.0010553559311956718,566.0145874023438,0.078125,0.9360412955284119,0.1,-0.019209939800202847,456.0535583496094,96.0,-507.9237
23,35,1472,41,-14.878389167785645,0.007070639,110,0.031044960021972656,0.0010553559311956718,577.4252807617188,0.109375,0.9360662698745728,0.1,-0.01923922300338745,466.2210998535156,96.0,-507.9237
