train/actor_loss,time/episodes,train/n_updates,time/fps,time/total_timesteps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean
-198.5800256729126,4,640,28,768,154.36129188537598,27,242.69096,0.0018832140971657787,96.0
,8,,28,768,,27,242.69096,,96.0
-174.98458290100098,12,1408,27,1536,394.36735582351685,56,-26.5267,0.0018832140971657787,96.0
,16,,27,1536,,56,-26.5267,,96.0
-249.1031575202942,20,2176,27,2304,382.0243077278137,85,-43.02687,0.0018832140971657787,96.0
,24,,27,2304,,85,-43.02687,,96.0
-508.82264137268066,28,2944,27,3072,541.1459860801697,113,561.13043,0.0018832140971657787,96.0
,32,,27,3072,,113,561.13043,,96.0
