time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates
4,-1934.8735,768,18,40,96.0,,,,,
8,-1934.8735,768,18,40,96.0,,,,,
12,-1887.3218,1536,38,40,96.0,916.4424438476562,0.4905223250389099,0.0016174122696161997,0.009999999776482582,4
16,-1887.3218,1536,38,40,96.0,,,,,
20,-2295.7996,2304,57,40,96.0,863.866943359375,0.2616806626319885,0.0016174122696161997,0.009999999776482582,10
24,-2295.7996,2304,57,40,96.0,,,,,
28,-3280.519,3072,77,39,96.0,1193.6195068359375,-2.6538312435150146,0.0016174122696161997,0.009999999776482582,16
32,-3280.519,3072,77,39,96.0,,,,,
