rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef
3278.1677,372,96.0,36096,852,42,-74.30487060546875,125,0.0007666348686557302,342.7199401855469,0.5
3278.1677,376,96.0,36096,852,42,,,,,
3380.1016,380,96.0,36864,870,42,-89.92716979980469,131,0.0007666348686557302,685.6376953125,0.5
3380.1016,384,96.0,36864,870,42,,,,,
3452.699,388,96.0,37632,889,42,-95.82640075683594,137,0.0007666348686557302,491.54071044921875,0.5
3452.699,392,96.0,37632,889,42,,,,,
3528.8826,396,96.0,38400,907,42,-105.50221252441406,143,0.0007666348686557302,506.9322204589844,0.5
3528.8826,400,96.0,38400,907,42,,,,,
3599.8423,404,96.0,39168,926,42,-101.8493881225586,149,0.0007666348686557302,607.742919921875,0.5
3599.8423,408,96.0,39168,926,42,,,,,
3695.105,412,96.0,39936,944,42,-97.98188781738281,155,0.0007666348686557302,710.5018310546875,0.5
3695.105,416,96.0,39936,944,42,,,,,
3746.6885,420,96.0,40704,962,42,-115.48822784423828,161,0.0007666348686557302,517.9007568359375,0.5
3746.6885,424,96.0,40704,962,42,,,,,
3805.896,428,96.0,41472,981,42,-102.7881851196289,167,0.0007666348686557302,535.02783203125,0.5
3805.896,432,96.0,41472,981,42,,,,,
3764.5715,436,96.0,42240,999,42,-114.68780517578125,173,0.0007666348686557302,690.414794921875,0.5
3764.5715,440,96.0,42240,999,42,,,,,
3678.7373,444,96.0,43008,1018,42,-143.1881561279297,179,0.0007666348686557302,1261.4381103515625,0.5
3678.7373,448,96.0,43008,1018,42,,,,,
3591.6306,452,96.0,43776,1036,42,-149.0704345703125,185,0.0007666348686557302,738.5198974609375,0.5
3591.6306,456,96.0,43776,1036,42,,,,,
3513.875,460,96.0,44544,1055,42,-164.8637237548828,191,0.0007666348686557302,629.220458984375,0.5
3513.875,464,96.0,44544,1055,42,,,,,
3476.6191,468,96.0,45312,1073,42,-145.1134796142578,197,0.0007666348686557302,855.39111328125,0.5
3476.6191,472,96.0,45312,1073,42,,,,,
3450.932,476,96.0,46080,1091,42,-157.2498016357422,203,0.0007666348686557302,815.8291015625,0.5
3450.932,480,96.0,46080,1091,42,,,,,
3408.8123,484,96.0,46848,1110,42,-182.78225708007812,209,0.0007666348686557302,806.1995849609375,0.5
3408.8123,488,96.0,46848,1110,42,,,,,
3368.6338,492,96.0,47616,1128,42,-142.26524353027344,215,0.0007666348686557302,691.548583984375,0.5
3368.6338,496,96.0,47616,1128,42,,,,,
3362.955,500,96.0,48384,1146,42,-159.52552795410156,221,0.0007666348686557302,1117.2777099609375,0.5
3362.955,504,96.0,48384,1146,42,,,,,
3364.179,508,96.0,49152,1164,42,-179.60275268554688,227,0.0007666348686557302,1548.1986083984375,0.5
3364.179,512,96.0,49152,1164,42,,,,,
3335.4988,516,96.0,49920,1183,42,-167.00106811523438,233,0.0007666348686557302,813.3370361328125,0.5
3335.4988,520,96.0,49920,1183,42,,,,,
3309.377,524,96.0,50688,1201,42,-194.26170349121094,239,0.0007666348686557302,1028.1143798828125,0.5
3309.377,528,96.0,50688,1201,42,,,,,
3302.2407,532,96.0,51456,1219,42,-198.4462432861328,245,0.0007666348686557302,811.7452392578125,0.5
3302.2407,536,96.0,51456,1219,42,,,,,
3333.117,540,96.0,52224,1238,42,-215.3064422607422,251,0.0007666348686557302,983.2332763671875,0.5
3333.117,544,96.0,52224,1238,42,,,,,
3400.2869,548,96.0,52992,1256,42,-192.85313415527344,257,0.0007666348686557302,1747.140625,0.5
3400.2869,552,96.0,52992,1256,42,,,,,
3495.517,556,96.0,53760,1274,42,-248.0093994140625,263,0.0007666348686557302,1493.274658203125,0.5
3495.517,560,96.0,53760,1274,42,,,,,
3597.047,564,96.0,54528,1293,42,-194.26004028320312,269,0.0007666348686557302,787.3587646484375,0.5
3597.047,568,96.0,54528,1293,42,,,,,
3691.1562,572,96.0,55296,1311,42,-213.29132080078125,275,0.0007666348686557302,674.6060180664062,0.5
3691.1562,576,96.0,55296,1311,42,,,,,
3763.6665,580,96.0,56064,1329,42,-237.4554901123047,281,0.0007666348686557302,1372.9586181640625,0.5
3763.6665,584,96.0,56064,1330,42,,,,,
3823.4062,588,96.0,56832,1348,42,-226.86578369140625,287,0.0007666348686557302,1119.7967529296875,0.5
3823.4062,592,96.0,56832,1348,42,,,,,
3870.1436,596,96.0,57600,1367,42,-218.6079864501953,293,0.0007666348686557302,1026.144287109375,0.5
3870.1436,600,96.0,57600,1367,42,,,,,
3903.196,604,96.0,58368,1385,42,-213.0844268798828,299,0.0007666348686557302,1956.9537353515625,0.5
3903.196,608,96.0,58368,1385,42,,,,,
3941.7686,612,96.0,59136,1404,42,-243.79592895507812,305,0.0007666348686557302,2199.375,0.5
3941.7686,616,96.0,59136,1404,42,,,,,
4010.238,620,96.0,59904,1423,42,-275.5663146972656,311,0.0007666348686557302,1645.7266845703125,0.5
4010.238,624,96.0,59904,1423,42,,,,,
4092.6665,628,96.0,60672,1441,42,-249.40505981445312,317,0.0007666348686557302,1154.8638916015625,0.5
4092.6665,632,96.0,60672,1441,42,,,,,
4160.953,636,96.0,61440,1460,42,-278.87579345703125,323,0.0007666348686557302,1862.8292236328125,0.5
4160.953,640,96.0,61440,1460,42,,,,,
4208.2026,644,96.0,62208,1479,42,-276.5543212890625,329,0.0007666348686557302,1044.25146484375,0.5
4208.2026,648,96.0,62208,1479,42,,,,,
4217.067,652,96.0,62976,1498,42,-267.646484375,335,0.0007666348686557302,1977.916015625,0.5
4217.067,656,96.0,62976,1498,42,,,,,
4192.101,660,96.0,63744,1517,42,-308.7518615722656,341,0.0007666348686557302,1578.734130859375,0.5
4192.101,664,96.0,63744,1517,42,,,,,
4154.517,668,96.0,64512,1535,42,-260.6231994628906,347,0.0007666348686557302,1307.82080078125,0.5
4154.517,672,96.0,64512,1535,42,,,,,
4116.9185,676,96.0,65280,1554,42,-305.7572937011719,353,0.0007666348686557302,1824.020263671875,0.5
4116.9185,680,96.0,65280,1554,42,,,,,
4098.7104,684,96.0,66048,1572,42,-303.177978515625,359,0.0007666348686557302,1431.3916015625,0.5
4098.7104,688,96.0,66048,1572,42,,,,,
4074.679,692,96.0,66816,1591,41,-299.9463806152344,365,0.0007666348686557302,1305.904296875,0.5
4074.679,696,96.0,66816,1591,41,,,,,
4042.6753,700,96.0,67584,1609,41,-293.2294921875,371,0.0007666348686557302,1600.32763671875,0.5
4042.6753,704,96.0,67584,1609,41,,,,,
3943.5974,708,96.0,68352,1627,41,-313.26666259765625,377,0.0007666348686557302,1353.1314697265625,0.5
3943.5974,712,96.0,68352,1627,41,,,,,
3743.275,716,96.0,69120,1646,41,-274.072998046875,383,0.0007666348686557302,1060.113037109375,0.5
3743.275,720,96.0,69120,1646,41,,,,,
3460.406,724,96.0,69888,1664,41,-338.3883361816406,389,0.0007666348686557302,2608.76953125,0.5
3460.406,728,96.0,69888,1664,41,,,,,
3146.2783,732,96.0,70656,1683,41,-289.9564514160156,395,0.0007666348686557302,1152.4072265625,0.5
3146.2783,736,96.0,70656,1683,41,,,,,
2813.7822,740,96.0,71424,1701,41,-333.74365234375,401,0.0007666348686557302,1084.154296875,0.5
2813.7822,744,96.0,71424,1701,41,,,,,
2525.9658,748,96.0,72192,1719,41,-336.21002197265625,407,0.0007666348686557302,3833.2724609375,0.5
2525.9658,752,96.0,72192,1719,41,,,,,
2236.4683,756,96.0,72960,1737,41,-350.2650451660156,413,0.0007666348686557302,1711.76904296875,0.5
2236.4683,760,96.0,72960,1737,41,,,,,
1954.5685,764,96.0,73728,1755,41,-317.6059265136719,419,0.0007666348686557302,1704.59912109375,0.5
1954.5685,768,96.0,73728,1755,41,,,,,
1707.5908,772,96.0,74496,1773,41,-366.486328125,425,0.0007666348686557302,1451.451904296875,0.5
1707.5908,776,96.0,74496,1773,41,,,,,
1467.9894,780,96.0,75264,1792,41,-366.825927734375,431,0.0007666348686557302,1188.384033203125,0.5
1467.9894,784,96.0,75264,1792,41,,,,,
1174.7346,788,96.0,76032,1810,41,-376.0511779785156,437,0.0007666348686557302,1132.886962890625,0.5
1174.7346,792,96.0,76032,1810,41,,,,,
871.07367,796,96.0,76800,1828,41,-360.407958984375,443,0.0007666348686557302,1838.7025146484375,0.5
871.07367,800,96.0,76800,1828,41,,,,,
583.59467,804,96.0,77568,1847,41,-370.9559631347656,449,0.0007666348686557302,2241.257080078125,0.5
583.59467,808,96.0,77568,1847,41,,,,,
439.84204,812,96.0,78336,1865,41,-380.6847839355469,455,0.0007666348686557302,2718.8896484375,0.5
439.84204,816,96.0,78336,1865,41,,,,,
375.4016,820,96.0,79104,1884,41,-373.0755920410156,461,0.0007666348686557302,2012.635498046875,0.5
375.4016,824,96.0,79104,1884,41,,,,,
313.84775,828,96.0,79872,1902,41,-361.804443359375,467,0.0007666348686557302,3135.603271484375,0.5
313.84775,832,96.0,79872,1902,41,,,,,
332.69046,836,96.0,80640,1920,41,-390.74932861328125,473,0.0007666348686557302,2124.9208984375,0.5
332.69046,840,96.0,80640,1920,41,,,,,
