time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates
4,-2126.3022,768,18,40,96.0,,,,,
8,-2126.3022,768,18,40,96.0,,,,,
12,-1929.2642,1536,38,40,96.0,918.6141357421875,0.735439121723175,0.0016174122696161997,0.009999999776482582,4
16,-1929.2642,1536,38,40,96.0,,,,,
20,-1459.6675,2304,57,39,96.0,556.185791015625,1.5819871425628662,0.0016174122696161997,0.009999999776482582,10
24,-1459.6675,2304,57,39,96.0,,,,,
28,-1626.9446,3072,77,39,96.0,441.58306884765625,1.5451672077178955,0.0016174122696161997,0.009999999776482582,16
32,-1626.9446,3072,77,39,96.0,,,,,
