,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_sde_sample_freq,params_vf_coef,state
22,22,-644.9547729492188,2022-10-31 15:16:47.804557,2022-10-31 15:35:22.483646,0 days 00:18:34.679089,leaky_relu,128,0.2,0.00020596806197114675,0.98,0.95,0.00027762166511923083,-2.096372449101666,0.6,20,8,small,True,64,0.09767085213753825,PRUNED
23,23,-4938.1416015625,2022-10-31 15:35:22.483671,2022-10-31 17:26:41.211185,0 days 01:51:18.727514,leaky_relu,128,0.2,1.846560745579665e-05,0.98,0.95,0.0008845784662288744,-1.9440010917406416,0.6,20,8,small,True,64,0.012435125653579746,COMPLETE
24,24,1414.613037109375,2022-10-31 17:26:41.211185,2022-10-31 18:50:02.212694,0 days 01:23:21.001509,leaky_relu,128,0.2,0.003266217002104895,1.0,0.95,0.007572018118182582,-2.9914804724330795,0.3,20,256,small,True,64,0.0767207474872453,COMPLETE
25,25,-227.40518188476562,2022-10-31 18:50:02.220738,2022-10-31 20:18:34.373854,0 days 01:28:32.153116,leaky_relu,32,0.2,0.004055273386935846,1.0,0.95,0.005700408796793787,-3.994236151779155,0.3,20,256,small,True,256,0.6071155043293562,COMPLETE
26,26,1846.951416015625,2022-10-31 20:18:34.375891,2022-10-31 21:41:52.507567,0 days 01:23:18.131676,leaky_relu,128,0.3,0.022946316944092656,1.0,0.99,0.021150417233991546,-2.758796522523982,0.3,20,256,small,False,64,0.2929457136483067,COMPLETE
27,27,-8463.3994140625,2022-10-31 21:41:52.507567,2022-10-31 21:55:43.491450,0 days 00:13:50.983883,relu,256,0.3,0.01789766053560723,1.0,0.99,0.03736797993196388,-3.000862059598198,0.3,10,256,big,False,128,0.30234012887035444,PRUNED
28,28,-2230.611328125,2022-10-31 21:55:43.499511,2022-10-31 22:03:23.262278,0 days 00:07:39.762767,elu,16,0.3,0.056865880440148,1.0,0.99,0.22998349429290668,-3.269602815354787,0.3,1,256,medium,False,8,0.48761483658916993,PRUNED
29,29,-5456.04638671875,2022-10-31 22:03:23.270321,2022-10-31 23:28:51.263162,0 days 01:25:27.992841,leaky_relu,64,0.3,0.007319016896763489,0.99,0.99,0.021649655551937073,-3.5119220164609457,0.3,20,256,small,False,32,0.276288435587514,COMPLETE
30,30,,2022-10-31 23:28:51.263162,2022-10-31 23:35:19.894733,0 days 00:06:28.631571,leaky_relu,8,0.3,0.0018684256593332128,1.0,0.995,0.0960981990227105,-2.768866795195616,0.8,20,64,medium,False,16,0.09639795425859354,PRUNED
31,31,-297.0770568847656,2022-10-31 23:35:19.896775,2022-11-01 01:03:27.058241,0 days 01:28:07.161466,leaky_relu,128,0.3,0.018039212534263098,1.0,0.99,0.004279856753160218,-2.4186068752131042,0.3,20,16,small,False,64,0.007367703490695127,PRUNED
32,32,-10.427009582519531,2022-11-01 01:03:27.066281,2022-11-01 02:28:13.495641,0 days 01:24:46.429360,leaky_relu,128,0.4,7.020731947061022e-05,0.9,0.9,0.01591787983104847,-1.5201521611676203,0.5,20,256,small,False,64,0.132740904537142,COMPLETE
33,33,-623.8995361328125,2022-11-01 02:28:13.495641,2022-11-01 02:42:00.970044,0 days 00:13:47.474403,leaky_relu,128,0.1,0.002004539481427972,0.8,0.98,0.0017867483914533221,-2.184901761087601,2.0,20,256,small,False,64,0.3647772235550028,PRUNED
34,34,,2022-11-01 02:42:00.970044,2022-11-01 02:43:26.449652,0 days 00:01:25.479608,tanh,128,0.3,0.00021006200022097855,1.0,0.999,0.40635633974852986,-3.0490566368709784,0.3,20,32,small,True,32,0.4251587726988187,PRUNED
35,35,-3044.527587890625,2022-11-01 02:43:26.449652,2022-11-01 04:06:15.397107,0 days 01:22:48.947455,leaky_relu,64,0.2,0.007927807061443422,0.92,0.995,0.10301820200581373,-3.8767046966533947,0.8,5,256,big,False,64,0.061827710476945144,COMPLETE
