,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
23,23,1347.5989990234375,2022-11-18 00:06:26.723223,2022-11-18 01:28:13.738901,0 days 01:21:47.015678,<class 'torch.nn.modules.activation.Tanh'>,32,1000000,0.9999,0.0006853168623883987,small,0.3823469324910844,ornstein-uhlenbeck,0.02,64,COMPLETE
24,24,-670.28759765625,2022-11-18 01:28:13.740933,2022-11-18 01:43:50.367631,0 days 00:15:36.626698,<class 'torch.nn.modules.activation.LeakyReLU'>,2048,1000000,0.9999,6.871731809109117e-05,small,0.49089813505684315,ornstein-uhlenbeck,0.05,128,PRUNED
25,25,-2555.64501953125,2022-11-18 01:43:50.367631,2022-11-18 01:57:42.800317,0 days 00:13:52.432686,<class 'torch.nn.modules.activation.Tanh'>,16,1000000,0.95,0.003256416520330681,small,0.2578634769307526,ornstein-uhlenbeck,0.001,32,PRUNED
26,26,440.4515380859375,2022-11-18 01:57:42.800317,2022-11-18 02:14:43.148087,0 days 00:17:00.347770,<class 'torch.nn.modules.activation.ELU'>,256,1000000,0.99,0.0001881364801469951,big,0.5360022121061853,ornstein-uhlenbeck,0.005,4,PRUNED
27,27,-3296.67138671875,2022-11-18 02:14:43.156130,2022-11-18 02:29:58.205384,0 days 00:15:15.049254,<class 'torch.nn.modules.activation.ReLU'>,2048,100000,0.995,0.08788895072615482,small,0.8302365004844398,,0.08,32,PRUNED
28,28,-3254.5986328125,2022-11-18 02:29:58.205384,2022-11-18 02:43:56.362947,0 days 00:13:58.157563,<class 'torch.nn.modules.activation.LeakyReLU'>,16,10000,0.9,0.44196722672351885,medium,0.14302738303900386,ornstein-uhlenbeck,0.02,64,PRUNED
29,29,592.028564453125,2022-11-18 02:43:56.364985,2022-11-18 02:58:57.077965,0 days 00:15:00.712980,<class 'torch.nn.modules.activation.Tanh'>,256,1000000,0.9999,3.212011440135614e-05,big,0.693953431856861,normal,0.02,4,PRUNED
30,30,246.71267700195312,2022-11-18 02:58:57.079999,2022-11-18 03:14:24.119853,0 days 00:15:27.039854,<class 'torch.nn.modules.activation.Tanh'>,2048,1000000,0.98,0.00895068164519979,small,0.40320439286803594,ornstein-uhlenbeck,0.01,16,PRUNED
31,31,-2636.318359375,2022-11-18 03:14:24.119853,2022-11-18 03:27:57.875956,0 days 00:13:33.756103,<class 'torch.nn.modules.activation.Tanh'>,32,1000000,0.9999,0.21350281685746306,small,0.6328173003830556,ornstein-uhlenbeck,0.02,64,PRUNED
32,32,-8624.2626953125,2022-11-18 03:27:57.875956,2022-11-18 03:43:23.093175,0 days 00:15:25.217219,<class 'torch.nn.modules.activation.Tanh'>,2048,1000000,0.9999,0.19313647112117452,small,0.6273761758443107,ornstein-uhlenbeck,0.02,1,PRUNED
33,33,-4421.70703125,2022-11-18 03:43:23.093175,2022-11-18 03:57:12.739211,0 days 00:13:49.646036,<class 'torch.nn.modules.activation.Tanh'>,100,100000,0.9999,0.0721757350669822,small,0.8416208102238973,ornstein-uhlenbeck,0.02,64,PRUNED
34,34,-8837.46484375,2022-11-18 03:57:12.739211,2022-11-18 04:12:36.333702,0 days 00:15:23.594491,<class 'torch.nn.modules.activation.LeakyReLU'>,2048,1000000,0.9999,0.5256511280120828,small,0.5763363132147699,,0.001,512,PRUNED
35,35,2305.55908203125,2022-11-18 04:12:36.333702,2022-11-18 05:34:26.240129,0 days 01:21:49.906427,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.02054470128784433,small,0.6722304914652526,ornstein-uhlenbeck,0.02,64,COMPLETE
36,36,2624.822265625,2022-11-18 05:34:26.240129,2022-11-18 06:56:53.842807,0 days 01:22:27.602678,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.02385703835516289,small,0.6954997107163206,ornstein-uhlenbeck,0.02,64,COMPLETE
37,37,210.6030731201172,2022-11-18 06:56:53.844853,2022-11-18 07:10:33.008555,0 days 00:13:39.163702,<class 'torch.nn.modules.activation.Tanh'>,64,10000,0.99,0.020444111035298043,small,0.7132446036381797,ornstein-uhlenbeck,0.02,64,PRUNED
38,38,1861.077880859375,2022-11-18 07:10:33.010599,2022-11-18 08:32:56.655460,0 days 01:22:23.644861,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.04363309906582181,small,0.914390941316162,,0.02,64,COMPLETE
39,39,2593.5556640625,2022-11-18 08:32:56.655460,2022-11-18 09:54:51.276333,0 days 01:21:54.620873,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.014584840780733058,small,0.6610273663978516,ornstein-uhlenbeck,0.02,64,COMPLETE
40,40,612.5303955078125,2022-11-18 09:54:51.276333,2022-11-18 10:08:30.035842,0 days 00:13:38.759509,<class 'torch.nn.modules.activation.Tanh'>,64,100000,0.99,0.014196351282120243,small,0.669012367023316,normal,0.02,64,PRUNED
41,41,-1074.42822265625,2022-11-18 10:08:30.035842,2022-11-18 10:22:08.373531,0 days 00:13:38.337689,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.10580790298978356,small,0.5869000869454322,ornstein-uhlenbeck,0.02,64,PRUNED
42,42,2459.993896484375,2022-11-18 10:22:08.373531,2022-11-18 11:44:22.876528,0 days 01:22:14.502997,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.017525762051420125,small,0.8984837564339287,ornstein-uhlenbeck,0.02,64,COMPLETE
43,43,-187.3108673095703,2022-11-18 11:44:22.876528,2022-11-18 11:57:57.087402,0 days 00:13:34.210874,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.019443178583487798,small,0.9596956796238758,ornstein-uhlenbeck,0.02,64,PRUNED
44,44,2392.905029296875,2022-11-18 11:57:57.087402,2022-11-18 13:20:11.256088,0 days 01:22:14.168686,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.007321281226485064,small,0.7727736916196725,ornstein-uhlenbeck,0.02,64,COMPLETE
45,45,2259.26318359375,2022-11-18 13:20:11.258123,2022-11-18 14:41:56.541360,0 days 01:21:45.283237,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.006022864432128017,small,0.7775911017881837,ornstein-uhlenbeck,0.02,64,COMPLETE
46,46,-100.05438232421875,2022-11-18 14:41:56.541360,2022-11-18 14:55:33.805046,0 days 00:13:37.263686,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.0367966124248278,small,0.8916222030694331,ornstein-uhlenbeck,0.02,64,PRUNED
47,47,2703.595947265625,2022-11-18 14:55:33.805046,2022-11-18 16:18:00.177529,0 days 01:22:26.372483,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.98,0.003507447099353669,small,0.7718758382291784,ornstein-uhlenbeck,0.02,1,COMPLETE
48,48,603.3394775390625,2022-11-18 16:18:00.177529,2022-11-18 16:31:59.431106,0 days 00:13:59.253577,<class 'torch.nn.modules.activation.ELU'>,100,10000,0.98,0.0019484236678810746,small,0.9978071635859614,ornstein-uhlenbeck,0.005,1,PRUNED
49,49,1072.797607421875,2022-11-18 16:31:59.431106,2022-11-18 16:45:59.780348,0 days 00:14:00.349242,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.98,0.004278853904557868,medium,0.8538372879526116,,0.05,1,PRUNED
50,50,86.02371215820312,2022-11-18 16:45:59.780348,2022-11-18 17:00:32.772899,0 days 00:14:32.992551,<class 'torch.nn.modules.activation.Tanh'>,1024,1000000,0.9,0.010557143899755664,small,0.8921263187222702,ornstein-uhlenbeck,0.001,1,PRUNED
51,51,1216.772216796875,2022-11-18 17:00:32.774936,2022-11-18 17:14:10.795069,0 days 00:13:38.020133,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.98,0.014044304827364018,small,0.768409241517688,ornstein-uhlenbeck,0.02,64,PRUNED
52,52,1863.768798828125,2022-11-18 17:14:10.795069,2022-11-18 18:36:11.261161,0 days 01:22:00.466092,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.0030726445874910565,small,0.7554684938483556,ornstein-uhlenbeck,0.02,256,COMPLETE
53,53,-1356.41455078125,2022-11-18 18:36:11.261161,2022-11-18 18:49:52.068526,0 days 00:13:40.807365,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.13374998466490878,small,0.8018096097849933,ornstein-uhlenbeck,0.02,8,PRUNED
54,54,-1647.614990234375,2022-11-18 18:49:52.068526,2022-11-18 19:03:34.381216,0 days 00:13:42.312690,<class 'torch.nn.modules.activation.ReLU'>,128,1000000,0.98,0.0478361920857625,small,0.933720278378165,ornstein-uhlenbeck,0.08,128,PRUNED
55,55,1760.8228759765625,2022-11-18 19:03:34.381216,2022-11-18 20:25:49.732642,0 days 01:22:15.351426,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.0011002979035888009,small,0.8640387567611856,ornstein-uhlenbeck,0.02,64,COMPLETE
56,56,-934.9238891601562,2022-11-18 20:25:49.732642,2022-11-18 20:39:58.145175,0 days 00:14:08.412533,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.995,0.007624762507015872,small,0.8134123584790104,normal,0.02,1,PRUNED
57,57,914.37890625,2022-11-18 20:39:58.145175,2022-11-18 20:53:52.530722,0 days 00:13:54.385547,<class 'torch.nn.modules.activation.Tanh'>,64,100000,0.99,0.02763029338878641,medium,0.691323900963794,ornstein-uhlenbeck,0.02,64,PRUNED
58,58,643.5330810546875,2022-11-18 20:53:52.532758,2022-11-18 21:07:18.482788,0 days 00:13:25.950030,<class 'torch.nn.modules.activation.ELU'>,32,1000000,0.99,0.002575675730215274,small,0.7194751501841108,ornstein-uhlenbeck,0.02,512,PRUNED
59,59,606.7039794921875,2022-11-18 21:07:18.482788,2022-11-18 21:20:52.004263,0 days 00:13:33.521475,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.98,0.010160242245426832,small,0.7858168589995498,ornstein-uhlenbeck,0.005,256,PRUNED
60,60,-2779.68994140625,2022-11-18 21:20:52.004263,2022-11-18 21:34:28.063080,0 days 00:13:36.058817,<class 'torch.nn.modules.activation.ReLU'>,64,10000,0.99,0.004498953465346194,small,0.6607750878772306,ornstein-uhlenbeck,0.05,64,PRUNED
61,61,1826.1416015625,2022-11-18 21:34:28.063080,2022-11-18 22:56:37.991833,0 days 01:22:09.928753,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.019390068070872367,small,0.7425480101237859,ornstein-uhlenbeck,0.02,64,COMPLETE
62,62,-7.352394104003906,2022-11-18 22:56:37.999866,2022-11-18 23:10:26.645719,0 days 00:13:48.645853,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.053399433184283016,small,0.6846655909118735,ornstein-uhlenbeck,0.02,64,PRUNED
63,63,637.8521728515625,2022-11-18 23:10:26.645719,2022-11-18 23:23:56.580927,0 days 00:13:29.935208,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.01388473699519508,small,0.6485419891943558,ornstein-uhlenbeck,0.02,64,PRUNED
64,64,-3969.242431640625,2022-11-18 23:23:56.580927,2022-11-18 23:37:37.195906,0 days 00:13:40.614979,<class 'torch.nn.modules.activation.Tanh'>,128,1000000,0.99,0.03355978381970456,small,0.6090953610159641,ornstein-uhlenbeck,0.02,8,PRUNED
65,65,2369.08056640625,2022-11-18 23:37:37.203957,2022-11-19 01:01:36.551407,0 days 01:23:59.347450,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.006550038483109558,small,0.5626216503717874,ornstein-uhlenbeck,0.08,16,COMPLETE
66,66,-273.8697509765625,2022-11-19 01:01:36.561485,2022-11-19 01:15:43.015830,0 days 00:14:06.454345,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.0011260122564681744,small,0.5386074271155658,normal,0.08,16,PRUNED
