,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
23,23,-286.04254150390625,2022-11-21 20:11:05.679714,2022-11-21 20:31:35.508666,0 days 00:20:29.828952,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.1,0.9,0.0009337071119631412,1000,-0.4707870458972878,big,0.08,4,PRUNED
24,24,-879.233154296875,2022-11-21 20:31:35.516741,2022-11-21 20:46:51.057922,0 days 00:15:15.541181,<class 'torch.nn.modules.activation.LeakyReLU'>,64,100000,0.5,0.98,0.004475561758926361,1000,0.207081069069515,big,0.05,16,PRUNED
25,25,-1449.108642578125,2022-11-21 20:46:51.065965,2022-11-21 22:19:51.174362,0 days 01:33:00.108397,<class 'torch.nn.modules.activation.ELU'>,512,100000,0.0001,0.9,0.0008275428868392927,20000,-0.542873387277055,small,0.001,256,COMPLETE
26,26,-3577.562744140625,2022-11-21 22:19:51.182440,2022-11-21 22:34:56.988080,0 days 00:15:05.805640,<class 'torch.nn.modules.activation.Tanh'>,64,100000,0.05,0.995,0.7429335795225666,0,-1.4720706531600816,big,0.02,32,PRUNED
27,27,-2673.07275390625,2022-11-21 22:34:56.988080,2022-11-22 01:17:39.883650,0 days 02:42:42.895570,<class 'torch.nn.modules.activation.ReLU'>,2048,10000,auto,0.95,0.025463654914291395,10000,0.6279911715384698,medium,0.01,32,COMPLETE
28,28,-1491.991943359375,2022-11-22 01:17:39.883650,2022-11-22 01:33:28.316042,0 days 00:15:48.432392,<class 'torch.nn.modules.activation.LeakyReLU'>,128,100000,0.1,0.9999,0.005996245036674402,1000,-1.2674267990516772,big,0.005,16,PRUNED
29,29,-1488.3251953125,2022-11-22 01:33:28.316042,2022-11-22 01:42:39.065899,0 days 00:09:10.749857,<class 'torch.nn.modules.activation.ELU'>,1024,1000000,auto,0.999,0.056616191382216914,10000,-0.10030930384144288,small,0.08,256,PRUNED
30,30,-10329.42578125,2022-11-22 01:42:39.073945,2022-11-22 02:00:09.746834,0 days 00:17:30.672889,<class 'torch.nn.modules.activation.ELU'>,256,100000,0.01,0.99,0.2913362847643805,20000,-2.276748792344128,big,0.08,8,PRUNED
31,31,-3313.12109375,2022-11-22 02:00:09.746834,2022-11-22 02:15:41.006294,0 days 00:15:31.259460,<class 'torch.nn.modules.activation.Tanh'>,128,100000,0.05,0.98,0.0018982500062937298,0,-3.4574241100192844,big,0.005,16,PRUNED
32,32,-1594.13525390625,2022-11-22 02:15:41.006294,2022-11-22 02:31:22.142244,0 days 00:15:41.135950,<class 'torch.nn.modules.activation.Tanh'>,128,100000,0.1,0.98,0.00258681641797354,0,-3.33156192945611,big,0.005,16,PRUNED
33,33,-3720.82373046875,2022-11-22 02:31:22.142244,2022-11-22 02:45:54.142751,0 days 00:14:32.000507,<class 'torch.nn.modules.activation.Tanh'>,32,100000,0.05,0.98,0.009177339157591882,0,-3.065071645407553,big,0.005,512,PRUNED
34,34,-4044.66845703125,2022-11-22 02:45:54.142751,2022-11-22 03:01:22.175524,0 days 00:15:28.032773,<class 'torch.nn.modules.activation.Tanh'>,128,100000,0.05,0.98,0.00018059218128124317,0,-3.821705442092875,big,0.001,16,PRUNED
35,35,66.53526306152344,2022-11-22 03:01:22.175524,2022-11-22 04:30:02.562770,0 days 01:28:40.387246,<class 'torch.nn.modules.activation.LeakyReLU'>,16,10000,0.05,0.9,0.0014678156040939083,1000,0.01874479560723931,big,0.005,16,COMPLETE
36,36,-843.1644287109375,2022-11-22 04:30:02.562770,2022-11-22 04:44:38.432465,0 days 00:14:35.869695,<class 'torch.nn.modules.activation.LeakyReLU'>,16,10000,0.01,0.9,2.3409180395647306e-05,1000,0.00875678300178423,medium,0.005,1,PRUNED
37,37,-2595.193115234375,2022-11-22 04:44:38.432465,2022-11-22 04:59:20.818398,0 days 00:14:42.385933,<class 'torch.nn.modules.activation.LeakyReLU'>,16,10000,0.05,0.9,0.0016273468003110973,1000,-0.4305184192656759,big,0.001,4,PRUNED
38,38,-1524.662841796875,2022-11-22 04:59:20.818398,2022-11-22 05:13:36.719943,0 days 00:14:15.901545,<class 'torch.nn.modules.activation.LeakyReLU'>,16,10000,0.5,0.9,4.3508432950321994e-05,1000,0.56757153750683,small,0.05,16,PRUNED
39,39,-66.23265075683594,2022-11-22 05:13:36.719943,2022-11-22 05:55:26.157267,0 days 00:41:49.437324,<class 'torch.nn.modules.activation.LeakyReLU'>,2048,10000,0.0001,0.9,0.0011753361860978783,1000,-0.006100879796346714,big,0.005,128,PRUNED
40,40,-1564.784423828125,2022-11-22 05:55:26.157267,2022-11-22 06:10:18.220357,0 days 00:14:52.063090,<class 'torch.nn.modules.activation.ReLU'>,16,1000000,0.01,0.999,0.0005183051510696713,1000,-1.8670263249309087,big,0.02,64,PRUNED
41,41,-3272.2861328125,2022-11-22 06:10:18.220357,2022-11-22 06:27:23.729800,0 days 00:17:05.509443,<class 'torch.nn.modules.activation.ELU'>,64,10000,0.05,0.98,0.012831395965820794,0,-0.7257365989421893,big,0.005,16,PRUNED
42,42,-3689.11962890625,2022-11-22 06:27:23.729800,2022-11-22 09:39:57.783913,0 days 03:12:34.054113,<class 'torch.nn.modules.activation.Tanh'>,2048,100000,0.05,0.99,0.00017291525216717464,20000,-0.1861551572241784,big,0.005,16,COMPLETE
43,43,-2623.689208984375,2022-11-22 09:39:57.783913,2022-11-22 10:00:19.451631,0 days 00:20:21.667718,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.05,0.9,0.0031479934430693815,1000,-2.694986258383554,big,0.005,16,PRUNED
44,44,217.89984130859375,2022-11-22 10:00:19.459691,2022-11-22 10:14:37.897870,0 days 00:14:18.438179,<class 'torch.nn.modules.activation.LeakyReLU'>,32,10000,0.05,0.995,0.02385970073802939,1000,0.7669438854142471,small,0.01,32,PRUNED
