rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate
-989.4292,768,18,96.0,42,4,,,,
-989.4292,768,18,96.0,42,8,,,,
-1096.8455,1536,36,96.0,42,12,,,,
-1096.8455,1536,36,96.0,42,16,,,,
-911.5947,2304,139,96.0,16,20,-1010.7739590278361,2048,2374.9352436438203,0.0022882963659741056
-911.5947,2304,139,96.0,16,24,,,,
-1513.187,3072,158,96.0,19,28,,,,
-1513.187,3072,158,96.0,19,32,,,,
-1873.6707,3840,176,96.0,21,36,,,,
-1873.6707,3840,176,96.0,21,40,,,,
