rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate
431.34827,38400,2521,96.0,15,396,,,,
431.34827,38400,2521,96.0,15,400,,,,
434.44403,39168,2629,96.0,14,404,-10.204969548794907,38912,2309.2351205050945,0.0022882963659741056
434.44403,39168,2629,96.0,14,408,,,,
432.5206,39936,2647,96.0,15,412,,,,
432.5206,39936,2647,96.0,15,416,,,,
435.8051,40704,2666,96.0,15,420,,,,
435.8051,40704,2666,96.0,15,424,,,,
437.38293,41472,2773,96.0,14,428,-9.840552400622983,40960,2181.6262054741383,0.0022882963659741056
437.38293,41472,2773,96.0,14,432,,,,
442.1126,42240,2791,96.0,15,436,,,,
442.1126,42240,2791,96.0,15,440,,,,
434.1218,43008,2810,96.0,15,444,,,,
434.1218,43008,2810,96.0,15,448,,,,
424.9951,43776,2917,96.0,15,452,-8.02832183171995,43008,2102.1662182807922,0.0022882963659741056
424.9951,43776,2917,96.0,15,456,,,,
425.59155,44544,2936,96.0,15,460,,,,
425.59155,44544,2936,96.0,15,464,,,,
422.5968,45312,3043,96.0,14,468,-6.68565295409644,45056,1880.23577901721,0.0022882963659741056
422.5968,45312,3043,96.0,14,472,,,,
415.6913,46080,3062,96.0,15,476,,,,
415.6913,46080,3062,96.0,15,480,,,,
422.9951,46848,3081,96.0,15,484,,,,
422.9951,46848,3081,96.0,15,488,,,,
424.77502,47616,3189,96.0,14,492,-10.033233491296414,47104,1541.207758963108,0.0022882963659741056
424.77502,47616,3189,96.0,14,496,,,,
422.00055,48384,3208,96.0,15,500,,,,
422.00055,48384,3208,96.0,15,504,,,,
413.0275,49152,3226,96.0,15,508,,,,
413.0275,49152,3226,96.0,15,512,,,,
415.66132,49920,3334,96.0,14,516,-11.763748014578596,49152,1359.531681239605,0.0022882963659741056
415.66132,49920,3334,96.0,14,520,,,,
426.9534,50688,3353,96.0,15,524,,,,
426.9534,50688,3353,96.0,15,528,,,,
423.55328,51456,3461,96.0,14,532,-17.033043252129573,51200,1257.5546860694885,0.0022882963659741056
423.55328,51456,3461,96.0,14,536,,,,
421.7303,52224,3479,96.0,15,540,,,,
421.7303,52224,3479,96.0,15,544,,,,
421.9334,52992,3497,96.0,15,548,,,,
421.9334,52992,3497,96.0,15,552,,,,
429.73648,53760,3605,96.0,14,556,-20.35421454301104,53248,1056.2294852733612,0.0022882963659741056
429.73648,53760,3605,96.0,14,560,,,,
436.2002,54528,3624,96.0,15,564,,,,
436.2002,54528,3624,96.0,15,568,,,,
442.89484,55296,3642,96.0,15,572,,,,
442.89484,55296,3642,96.0,15,576,,,,
424.1198,56064,3750,96.0,14,580,-18.0803440019954,55296,1013.4970192909241,0.0022882963659741056
424.1198,56064,3750,96.0,14,584,,,,
427.2651,56832,3768,96.0,15,588,,,,
427.2651,56832,3768,96.0,15,592,,,,
419.41464,57600,3877,96.0,14,596,-14.746475831372663,57344,988.9238261282444,0.0022882963659741056
419.41464,57600,3877,96.0,14,600,,,,
427.75452,58368,3895,96.0,14,604,,,,
427.75452,58368,3895,96.0,14,608,,,,
424.45337,59136,3914,96.0,15,612,,,,
424.45337,59136,3914,96.0,15,616,,,,
424.5498,59904,4021,96.0,14,620,-12.997294619097374,59392,934.3639001250267,0.0022882963659741056
424.5498,59904,4021,96.0,14,624,,,,
422.9616,60672,4040,96.0,15,628,,,,
422.9616,60672,4040,96.0,15,632,,,,
419.31195,61440,4058,96.0,15,636,,,,
419.31195,61440,4058,96.0,15,640,,,,
416.06067,62208,4166,96.0,14,644,-12.064960106508806,61440,922.5457125753164,0.0022882963659741056
416.06067,62208,4166,96.0,14,648,,,,
426.3192,62976,4184,96.0,15,652,,,,
426.3192,62976,4184,96.0,15,656,,,,
421.83,63744,4292,96.0,14,660,-13.07737411285052,63488,875.5782840102911,0.0022882963659741056
421.83,63744,4292,96.0,14,664,,,,
420.05734,64512,4310,96.0,14,668,,,,
420.05734,64512,4310,96.0,14,672,,,,
432.83905,65280,4328,96.0,15,676,,,,
432.83905,65280,4328,96.0,15,680,,,,
434.44806,66048,4436,96.0,14,684,-10.385967199632432,65536,841.4493555575609,0.0022882963659741056
434.44806,66048,4436,96.0,14,688,,,,
434.1688,66816,4454,96.0,14,692,,,,
434.1688,66816,4454,96.0,14,696,,,,
436.30038,67584,4473,96.0,15,700,,,,
436.30038,67584,4473,96.0,15,704,,,,
442.36368,68352,4581,96.0,14,708,-8.366360486921621,67584,920.0429389178753,0.0022882963659741056
442.36368,68352,4581,96.0,14,712,,,,
438.2437,69120,4599,96.0,15,716,,,,
438.2437,69120,4599,96.0,15,720,,,,
426.79968,69888,4707,96.0,14,724,-8.202931488311151,69632,871.7251656204462,0.0022882963659741056
426.79968,69888,4707,96.0,14,728,,,,
437.95148,70656,4725,96.0,14,732,,,,
437.95148,70656,4725,96.0,14,736,,,,
428.65808,71424,4743,96.0,15,740,,,,
428.65808,71424,4743,96.0,15,744,,,,
430.9615,72192,4851,96.0,14,748,-8.472489533072803,71680,793.6780577749014,0.0022882963659741056
430.9615,72192,4851,96.0,14,752,,,,
430.864,72960,4869,96.0,14,756,,,,
430.864,72960,4869,96.0,14,760,,,,
433.96445,73728,4888,96.0,15,764,,,,
433.96445,73728,4888,96.0,15,768,,,,
427.6043,74496,4996,96.0,14,772,-5.50750830952893,73728,742.5023938119411,0.0022882963659741056
427.6043,74496,4996,96.0,14,776,,,,
422.1725,75264,5015,96.0,15,780,,,,
422.1725,75264,5015,96.0,15,784,,,,
419.57797,76032,5122,96.0,14,788,-3.9824757420283277,75776,879.43499083817,0.0022882963659741056
419.57797,76032,5122,96.0,14,792,,,,
429.50186,76800,5141,96.0,14,796,,,,
429.50186,76800,5141,96.0,14,800,,,,
425.5254,77568,5159,96.0,15,804,,,,
425.5254,77568,5159,96.0,15,808,,,,
421.99915,78336,5266,96.0,14,812,-2.4610411384201143,77824,848.5453170984983,0.0022882963659741056
421.99915,78336,5266,96.0,14,816,,,,
430.5674,79104,5285,96.0,14,820,,,,
430.5674,79104,5285,96.0,14,824,,,,
434.96472,79872,5303,96.0,15,828,,,,
434.96472,79872,5303,96.0,15,832,,,,
438.58093,80640,5411,96.0,14,836,-2.546166805754183,79872,840.968358039856,0.0022882963659741056
438.58093,80640,5411,96.0,14,840,,,,
444.91922,81408,5429,96.0,14,844,,,,
444.91922,81408,5429,96.0,14,848,,,,
451.34665,82176,5537,96.0,14,852,-4.961281135692843,81920,856.2406432777643,0.0022882963659741056
451.34665,82176,5537,96.0,14,856,,,,
441.2532,82944,5555,96.0,14,860,,,,
441.2532,82944,5555,96.0,14,864,,,,
437.64816,83712,5574,96.0,15,868,,,,
437.64816,83712,5574,96.0,15,872,,,,
447.07953,84480,5682,96.0,14,876,-6.097420817357488,83968,807.6936003565788,0.0022882963659741056
447.07953,84480,5682,96.0,14,880,,,,
451.66248,85248,5700,96.0,14,884,,,,
451.66248,85248,5700,96.0,14,888,,,,
444.73648,86016,5719,96.0,15,892,,,,
444.73648,86016,5719,96.0,15,896,,,,
451.00583,86784,5827,96.0,14,900,-7.142560783686349,86016,776.8761276751757,0.0022882963659741056
451.00583,86784,5827,96.0,14,904,,,,
446.14145,87552,5845,96.0,14,908,,,,
446.14145,87552,5845,96.0,14,912,,,,
444.34372,88320,5953,96.0,14,916,-8.729113598150434,88064,728.7583690732718,0.0022882963659741056
444.34372,88320,5953,96.0,14,920,,,,
444.1616,89088,5972,96.0,14,924,,,,
444.1616,89088,5972,96.0,14,928,,,,
442.59683,89856,5990,96.0,14,932,,,,
442.59683,89856,5990,96.0,14,936,,,,
437.77332,90624,6098,96.0,14,940,-6.6115526930079795,90112,777.9857844561338,0.0022882963659741056
437.77332,90624,6098,96.0,14,944,,,,
432.8192,91392,6116,96.0,14,948,,,,
432.8192,91392,6116,96.0,14,952,,,,
433.5259,92160,6135,96.0,15,956,,,,
