rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate
675.40704,768,18,96.0,41,4,,,,
675.40704,768,18,96.0,41,8,,,,
796.8725,1536,36,96.0,41,12,,,,
796.8725,1536,36,96.0,41,16,,,,
403.6393,2304,137,96.0,16,20,-1404.693922846287,2048,4659.935775253922,0.0022882963659741056
403.6393,2304,137,96.0,16,24,,,,
-1218.8168,3072,156,96.0,19,28,,,,
-1218.8168,3072,156,96.0,19,32,,,,
-2192.228,3840,174,96.0,22,36,,,,
-2192.228,3840,174,96.0,22,40,,,,
