time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
1,42,64,1,,,,,,,,,,,,,
3,39,128,2,87.789604,3828.0226928710936,0.0005121231079101562,5,0.2,1376.8070068359375,0.24495480693876742,0.11828382313251495,0.9375,7.916968059539795,0.0013647642264479798,,
4,39,192,3,62.113613,1110.731869506836,-0.34436535835266113,10,0.2,414.5865173339844,0.3094966221600771,0.1188269853591919,0.93125,7.849670672416687,0.0013647642264479798,,
6,38,256,4,378.38684,931.4960205078125,0.2677995562553406,15,0.2,310.77508544921875,0.3279614593833685,0.11917828768491745,0.940625,7.805377721786499,0.0013647642264479798,,
8,38,320,5,134.3776,909.0467239379883,0.2436765432357788,20,0.2,436.4768371582031,0.31159135401248933,0.11936745047569275,0.95,7.783313775062561,0.0013647642264479798,,
9,38,384,6,175.00641,1606.2243530273438,-0.03363823890686035,25,0.2,500.90093994140625,0.311253116466105,0.11958477646112442,0.946875,7.763212513923645,0.0013647642264479798,,
11,38,448,7,294.8265,910.6916564941406,-6.628036499023438e-05,30,0.2,386.2558898925781,0.31068711802363397,0.11980456858873367,0.946875,7.744650959968567,0.0013647642264479798,,
13,38,512,8,521.2823,363.47105865478517,0.0012024641036987305,35,0.2,106.07422637939453,0.30351384412497284,0.12016914039850235,0.95,7.718547797203064,0.0013647642264479798,,
14,38,576,9,537.16394,893.436557006836,-0.0019925832748413086,40,0.2,273.5918273925781,0.31632372085005045,0.12052655220031738,0.95,7.683638596534729,0.0013647642264479798,,
16,38,640,10,389.8953,747.4848236083984,0.00015169382095336914,45,0.2,242.0682830810547,0.3129749774932861,0.12085976451635361,0.95,7.653239631652832,0.0013647642264479798,,
18,38,704,11,421.8507,344.72360916137694,0.6850248575210571,50,0.2,91.1569595336914,0.25324485916644335,0.12143092602491379,0.95,7.612596249580383,0.0013647642264479798,,
20,38,768,12,766.0533,564.5274139404297,0.9400577135384083,55,0.2,135.06900024414062,0.3080893039703369,0.12193295359611511,0.95,7.563251805305481,0.0013647642264479798,96.0,-559.1634
21,38,832,13,72.911,896.5893089294434,-2.72428035736084,60,0.2,59.74932098388672,0.19864008526783436,0.12228130549192429,0.925,7.525586485862732,0.0013647642264479798,96.0,-559.1634
23,38,896,14,242.67369,2196.2890869140624,0.42780911922454834,65,0.2,457.257080078125,0.29958911291323603,0.12255381792783737,0.95,7.4975896120071415,0.0013647642264479798,96.0,-559.1634
24,38,960,15,138.06725,410.14291353225707,-6.038199424743652,70,0.2,16.921056747436523,0.3165417810901999,0.12300422042608261,0.934375,7.471280646324158,0.0013647642264479798,96.0,-559.1634
26,38,1024,16,161.93042,267.27865316867826,-6.175721168518066,75,0.2,5.100438594818115,0.32343100840225814,0.12417879700660706,0.94375,7.409833359718323,0.0013647642264479798,96.0,-559.1634
28,38,1088,17,434.8358,1312.4773742675782,-0.4478687047958374,80,0.2,45.74037551879883,0.31382562294602395,0.12551279366016388,0.95,7.273753428459168,0.0013647642264479798,96.0,-559.1634
30,38,1152,18,130.6367,167.21896018981934,0.5031096935272217,85,0.2,37.13826370239258,0.3150438530370593,0.12668025493621826,0.95,7.18115267753601,0.0013647642264479798,96.0,-559.1634
31,38,1216,19,406.9151,506.2868854522705,-1.286625862121582,90,0.2,50.27457809448242,0.333461532741785,0.12776102125644684,0.95,7.08188784122467,0.0013647642264479798,96.0,-559.1634
33,38,1280,20,395.4875,1063.077049255371,0.5127376317977905,95,0.2,186.30429077148438,0.2838966886512935,0.12858977913856506,0.95,6.990791988372803,0.0013647642264479798,96.0,-559.1634
35,38,1344,21,61.691765,1477.5860778808594,-0.9351404905319214,100,0.2,553.3744506835938,0.2632439937442541,0.1291719526052475,0.95,6.934509873390198,0.0013647642264479798,96.0,-559.1634
36,38,1408,22,2588.9126,1607.945834350586,0.38033270835876465,105,0.2,595.5133056640625,0.3373866818845272,0.1295454204082489,0.9375,6.894256830215454,0.0013647642264479798,96.0,-559.1634
38,38,1472,23,75.592026,2139.855302429199,-0.17930865287780762,110,0.2,197.08062744140625,0.25260686576366426,0.12986232340335846,0.934375,6.864063477516174,0.0013647642264479798,96.0,-559.1634
40,38,1536,24,314.4109,950.0990783691407,0.4896395206451416,115,0.2,131.41383361816406,0.3026074067689478,0.1302335113286972,0.95,6.840236401557922,0.0013647642264479798,96.0,-578.1046
41,38,1600,25,739.1072,2923.1768463134767,0.032358527183532715,120,0.2,485.19482421875,0.32616065815091133,0.13068193197250366,0.95,6.799270725250244,0.0013647642264479798,96.0,-578.1046
43,38,1664,26,1396.574,164.72562789916992,0.915271520614624,125,0.2,23.252395629882812,0.28595039919018744,0.13156399130821228,0.95,6.757790350914002,0.0013647642264479798,96.0,-578.1046
45,38,1728,27,4259.7144,21.88804986476898,-0.21723031997680664,130,0.2,5.820762634277344,0.30340952444821595,0.13668520748615265,0.95,6.56710455417633,0.0013647642264479798,96.0,-578.1046
46,38,1792,28,555.5759,1242.9219200134278,-1.2787718772888184,135,0.2,86.55243682861328,0.3034340402111411,0.14034658670425415,0.95,6.112207317352295,0.0013647642264479798,96.0,-578.1046
48,38,1856,29,699.4678,336.2180713653564,0.5636657774448395,140,0.2,54.69205856323242,0.25938045158982276,0.1411697119474411,0.946875,5.966409754753113,0.0013647642264479798,96.0,-578.1046
50,38,1920,30,2332.587,334.81638412475587,0.5354322493076324,145,0.2,20.95599365234375,0.29179347306489944,0.14171864092350006,0.946875,5.9179177522659305,0.0013647642264479798,96.0,-578.1046
51,38,1984,31,51.802925,1341.5758178710937,-0.12340164184570312,150,0.2,149.61370849609375,0.23468199390918015,0.1422158181667328,0.928125,5.8789348840713505,0.0013647642264479798,96.0,-578.1046
53,38,2048,32,200.84805,1753.842221069336,0.1861175298690796,155,0.2,487.7585144042969,0.30941798016428945,0.14272084832191467,0.95,5.836757302284241,0.0013647642264479798,96.0,-578.1046
55,38,2112,33,88.167,2738.8211669921875,0.26358669996261597,160,0.2,593.2606201171875,0.32343226596713065,0.14300809800624847,0.94375,5.806892204284668,0.0013647642264479798,96.0,-578.1046
56,38,2176,34,408.0427,1711.5304092407227,0.27528780698776245,165,0.2,192.4107208251953,0.30601583048701286,0.14338910579681396,0.946875,5.782361006736755,0.0013647642264479798,96.0,-578.1046
58,38,2240,35,128.59866,2200.956866455078,0.48419904708862305,170,0.2,878.7574462890625,0.28462130278348924,0.14382314682006836,0.940625,5.751397013664246,0.0013647642264479798,96.0,-578.1046
60,38,2304,36,359.35812,2396.3830383300783,0.9201859161257744,175,0.2,1099.5902099609375,0.3074386129155755,0.14419910311698914,0.946875,5.719563317298889,0.0013647642264479798,96.0,-619.83185
61,38,2368,37,90.79629,999.0312393188476,-0.4732959270477295,180,0.2,97.72289276123047,0.22779998257756234,0.1445673257112503,0.903125,5.693282961845398,0.0013647642264479798,96.0,-619.83185
63,38,2432,38,16.723557,4040.4882690429686,-0.0027153491973876953,185,0.2,1012.9598999023438,0.302154790610075,0.14497746527194977,0.94375,5.662282013893128,0.0013647642264479798,96.0,-619.83185
65,38,2496,39,61.347828,1623.311417388916,0.06465095281600952,190,0.2,82.81520080566406,0.3081403810530901,0.14532822370529175,0.94375,5.6343302726745605,0.0013647642264479798,96.0,-619.83185
66,38,2560,40,566.26483,182.16510019302368,-0.9014180898666382,195,0.2,7.924454689025879,0.3192616239655763,0.14659957587718964,0.93125,5.588929343223572,0.0013647642264479798,96.0,-619.83185
68,38,2624,41,59.640236,2701.6124691009522,-9.545262336730957,200,0.2,29.0654239654541,0.30963467471301553,0.1482018381357193,0.90625,5.461506509780884,0.0013647642264479798,96.0,-619.83185
70,38,2688,42,364.05786,1895.1024780273438,-0.03884732723236084,205,0.2,585.9793701171875,0.3251993091776967,0.1493149995803833,0.95,5.357686972618103,0.0013647642264479798,96.0,-619.83185
71,38,2752,43,966.7024,772.1186538696289,0.00921940803527832,210,0.2,243.47467041015625,0.3097764080390334,0.15006870031356812,0.95,5.2965553283691404,0.0013647642264479798,96.0,-619.83185
73,38,2816,44,1565.3591,1405.4097991943358,0.003958284854888916,215,0.2,563.8046264648438,0.3015752021223307,0.1506819725036621,0.95,5.246127247810364,0.0013647642264479798,96.0,-619.83185
75,38,2880,45,1531.7458,2119.9506713867186,-0.08323299884796143,220,0.2,628.8997192382812,0.34626616463065146,0.1509311944246292,0.95,5.216766285896301,0.0013647642264479798,96.0,-619.83185
76,38,2944,46,260.9491,409.1316604614258,0.5658958554267883,225,0.2,104.2956771850586,0.29027002211660147,0.15173865854740143,0.95,5.184052133560181,0.0013647642264479798,96.0,-619.83185
78,38,3008,47,815.49194,502.4348457336426,0.30403488874435425,230,0.2,68.55335998535156,0.2841212395578623,0.1526038944721222,0.95,5.11774435043335,0.0013647642264479798,96.0,-619.83185
80,38,3072,48,145.93448,859.5201179504395,-2.623736619949341,235,0.2,42.49971008300781,0.25786684900522233,0.15358461439609528,0.9125,5.057485222816467,0.0013647642264479798,96.0,-617.7836
