time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates
4,-2307.432,768,18,41,96.0,,,,,
8,-2307.432,768,18,41,96.0,,,,,
12,-2251.5835,1536,37,40,96.0,1046.72265625,0.6276310682296753,0.0016174122696161997,0.009999999776482582,4
16,-2251.5835,1536,37,40,96.0,,,,,
20,-2092.0457,2304,57,40,96.0,828.53662109375,2.007406711578369,0.0016174122696161997,0.009999999776482582,10
24,-2092.0457,2304,57,40,96.0,,,,,
28,-3227.6685,3072,76,40,96.0,2199.865966796875,5.9427490234375,0.0016174122696161997,0.009999999776482582,16
32,-3227.6685,3072,76,40,96.0,,,,,
36,-4018.196,3840,96,39,96.0,2857.600341796875,2.5431644916534424,0.0016174122696161997,0.009999999776482582,22
40,-4018.196,3840,96,39,96.0,,,,,
44,-4739.7305,4608,115,39,96.0,2193.11376953125,10.061848640441895,0.0016174122696161997,0.009999999776482582,28
48,-4739.7305,4608,115,39,96.0,,,,,
52,-5116.6187,5376,135,39,96.0,1133.030517578125,34.17837905883789,0.0016174122696161997,0.009999999776482582,34
56,-5116.6187,5376,135,39,96.0,,,,,
60,-5292.896,6144,154,39,96.0,981.9087524414062,31.08608627319336,0.0016174122696161997,0.009999999776482582,40
64,-5292.896,6144,154,39,96.0,,,,,
68,-5334.223,6912,174,39,96.0,932.4024047851562,22.74454116821289,0.0016174122696161997,0.009999999776482582,46
72,-5334.223,6912,174,39,96.0,,,,,
76,-5090.2734,7680,193,39,96.0,765.2921142578125,28.635961532592773,0.0016174122696161997,0.009999999776482582,52
80,-5090.2734,7680,193,39,96.0,,,,,
84,-4963.992,8448,213,39,96.0,619.1058349609375,25.067691802978516,0.0016174122696161997,0.009999999776482582,58
88,-4963.992,8448,213,39,96.0,,,,,
92,-4822.4336,9216,232,39,96.0,570.393310546875,26.24960708618164,0.0016174122696161997,0.009999999776482582,64
96,-4822.4336,9216,232,39,96.0,,,,,
100,-4699.5073,9984,252,39,96.0,579.147705078125,25.588302612304688,0.0016174122696161997,0.009999999776482582,70
104,-4699.5073,9984,252,39,96.0,,,,,
108,-4735.5127,10752,272,39,96.0,454.85467529296875,22.867422103881836,0.0016174122696161997,0.009999999776482582,76
112,-4735.5127,10752,272,39,96.0,,,,,
116,-4776.67,11520,291,39,96.0,409.486572265625,21.30400848388672,0.0016174122696161997,0.009999999776482582,82
120,-4776.67,11520,291,39,96.0,,,,,
124,-4601.489,12288,312,39,96.0,339.6750793457031,23.00881576538086,0.0016174122696161997,0.009999999776482582,88
128,-4601.489,12288,312,39,96.0,,,,,
132,-4254.1543,13056,331,39,96.0,314.8623046875,21.883586883544922,0.0016174122696161997,0.009999999776482582,94
136,-4254.1543,13056,331,39,96.0,,,,,
140,-3825.7805,13824,351,39,96.0,254.62319946289062,18.427433013916016,0.0016174122696161997,0.009999999776482582,100
144,-3825.7805,13824,351,39,96.0,,,,,
148,-3330.9756,14592,371,39,96.0,227.8146209716797,17.11027717590332,0.0016174122696161997,0.009999999776482582,106
152,-3330.9756,14592,371,39,96.0,,,,,
156,-2838.7476,15360,391,39,96.0,234.58453369140625,13.762097358703613,0.0016174122696161997,0.009999999776482582,112
160,-2838.7476,15360,391,39,96.0,,,,,
164,-2332.3022,16128,411,39,96.0,215.1946563720703,14.869999885559082,0.0016174122696161997,0.009999999776482582,118
168,-2332.3022,16128,411,39,96.0,,,,,
172,-1901.5402,16896,431,39,96.0,202.70819091796875,15.65385627746582,0.0016174122696161997,0.009999999776482582,124
176,-1901.5402,16896,431,39,96.0,,,,,
180,-1479.0842,17664,450,39,96.0,190.35769653320312,15.019975662231445,0.0016174122696161997,0.009999999776482582,130
184,-1479.0842,17664,450,39,96.0,,,,,
188,-1052.8125,18432,470,39,96.0,169.60458374023438,12.39683723449707,0.0016174122696161997,0.009999999776482582,136
192,-1052.8125,18432,470,39,96.0,,,,,
196,-626.27893,19200,489,39,96.0,165.12741088867188,13.553651809692383,0.0016174122696161997,0.009999999776482582,142
200,-626.27893,19200,489,39,96.0,,,,,
204,-371.68274,19968,509,39,96.0,168.6534423828125,11.050897598266602,0.0016174122696161997,0.009999999776482582,148
208,-371.68274,19968,509,39,96.0,,,,,
212,-135.9026,20736,528,39,96.0,166.30706787109375,10.156837463378906,0.0016174122696161997,0.009999999776482582,154
216,-135.9026,20736,528,39,96.0,,,,,
220,71.18143,21504,548,39,96.0,176.3651123046875,9.324828147888184,0.0016174122696161997,0.009999999776482582,160
224,71.18143,21504,548,39,96.0,,,,,
228,289.1418,22272,567,39,96.0,178.797119140625,8.804411888122559,0.0016174122696161997,0.009999999776482582,166
232,289.1418,22272,567,39,96.0,,,,,
236,463.78903,23040,587,39,96.0,165.33958435058594,8.711195945739746,0.0016174122696161997,0.009999999776482582,172
240,463.78903,23040,587,39,96.0,,,,,
244,664.68774,23808,606,39,96.0,169.892822265625,8.686362266540527,0.0016174122696161997,0.009999999776482582,178
248,664.68774,23808,606,39,96.0,,,,,
252,804.1433,24576,625,39,96.0,162.05181884765625,7.190481662750244,0.0016174122696161997,0.009999999776482582,184
256,804.1433,24576,625,39,96.0,,,,,
260,874.8568,25344,645,39,96.0,158.91375732421875,8.437897682189941,0.0016174122696161997,0.009999999776482582,190
264,874.8568,25344,645,39,96.0,,,,,
268,860.3044,26112,664,39,96.0,160.43905639648438,6.931363582611084,0.0016174122696161997,0.009999999776482582,196
272,860.3044,26112,664,39,96.0,,,,,
