time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,1,64,43,,,,,,,,,,,,,
2,3,128,42,-14.897698593139648,0.03835853,5,0.00029337406158447266,0.0010553559311956718,3288.93154296875,0.46875,0.9363313317298889,0.1,-0.05113239362835884,2690.2529296875,,
3,4,192,42,-14.878873252868653,0.024864797,10,0.0018170475959777832,0.0010553559311956718,488.8576599121094,0.421875,0.935407280921936,0.1,-0.04792685955762863,392.6730651855469,,
4,6,256,42,-14.870599365234375,0.018210737,15,0.015460848808288574,0.0010553559311956718,421.68017578125,0.3375,0.9348077178001404,0.1,-0.02459373213350773,333.51446533203125,,
5,7,320,41,-14.863532066345215,0.015827745,20,0.031530916690826416,0.0010553559311956718,457.0588073730469,0.28125,0.9341526031494141,0.1,-0.034314417466521266,364.2612609863281,,
6,9,384,41,-14.855578994750976,0.00795016,25,0.014957726001739502,0.0010553559311956718,558.6496948242187,0.184375,0.9334383606910706,0.1,-0.024611014500260354,446.6065979003906,,
7,10,448,41,-14.845994758605958,0.014376494,30,0.0012860298156738281,0.0010553559311956718,534.8792358398438,0.228125,0.9325379729270935,0.1,-0.02903408706188202,426.2033386230469,,
8,12,512,41,-14.836138343811035,0.0068931496,35,0.032426655292510986,0.0010553559311956718,588.0450805664062,0.140625,0.9318832159042358,0.1,-0.022871826961636543,469.1780090332031,,
9,13,576,41,-14.830036926269532,0.0150069175,40,0.02113187313079834,0.0010553559311956718,561.4350952148437,0.2125,0.9315065145492554,0.1,-0.029653075337409972,448.5789794921875,,
10,15,640,41,-14.825314331054688,0.0031311614,45,0.041565537452697754,0.0010553559311956718,628.5323852539062,0.059375,0.9310697913169861,0.1,-0.016815785132348538,501.5889587402344,,
11,16,704,41,-14.818824195861817,0.005535301,50,-0.04364514350891113,0.0010553559311956718,635.1800537109375,0.109375,0.9303686022758484,0.1,-0.016790629550814628,509.3470764160156,,
12,18,768,41,-14.810241508483887,0.0057886066,55,0.025958776473999023,0.0010553559311956718,573.9773681640625,0.134375,0.9297559261322021,0.1,-0.021960756927728652,461.6677551269531,96.0,-545.46747
13,20,832,41,-14.806739044189452,0.008259374,60,-0.015205621719360352,0.0010553559311956718,537.8130493164062,0.1625,0.9300491809844971,0.1,-0.02629246488213539,432.2127990722656,96.0,-545.46747
14,21,896,41,-14.81090145111084,0.0067914557,65,0.00036466121673583984,0.0010553559311956718,3115.16943359375,0.15,0.9302332401275635,0.1,-0.015948512032628058,2544.010009765625,96.0,-545.46747
15,23,960,41,-14.810681915283203,0.0074487887,70,-0.5610435009002686,0.0010553559311956718,794.0189453125,0.15,0.9299253225326538,0.1,-0.021611446142196657,646.9414672851562,96.0,-545.46747
16,24,1024,41,-14.806549072265625,0.009730716,75,-0.07322633266448975,0.0010553559311956718,515.8341552734375,0.175,0.929699718952179,0.1,-0.025660382024943827,407.21466064453125,96.0,-545.46747
17,26,1088,41,-14.803857040405273,0.014024092,80,0.33016449213027954,0.0010553559311956718,477.5115966796875,0.25,0.9293766021728516,0.1,-0.034269722551107405,378.509521484375,96.0,-545.46747
18,27,1152,41,-14.803625679016113,0.011590451,85,0.4569703936576843,0.0010553559311956718,425.55194702148435,0.19375,0.9299716353416443,0.1,-0.03038099594414234,342.3258972167969,96.0,-545.46747
19,29,1216,41,-14.811829376220704,0.008886348,90,0.2278771996498108,0.0010553559311956718,522.0336853027344,0.16875,0.9306098818778992,0.1,-0.029126350581645966,419.3316955566406,96.0,-545.46747
20,30,1280,41,-14.81769847869873,0.009644497,95,-0.23856878280639648,0.0010553559311956718,661.2554077148437,0.1875,0.9309875965118408,0.1,-0.028514090925455093,536.6317138671875,96.0,-545.46747
21,32,1344,41,-14.822038269042968,0.011135942,100,0.2022433876991272,0.0010553559311956718,558.23681640625,0.175,0.9313488006591797,0.1,-0.028141049295663835,446.5554504394531,96.0,-545.46747
