time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,1,64,42,,,,,,,,,,,,,
2,3,128,41,-14.912392234802246,0.03128899,5,-0.0010017156600952148,0.0010553559311956718,3238.869970703125,0.440625,0.9393454194068909,0.1,-0.054432868771255014,2649.394775390625,,
3,4,192,41,-14.92340965270996,0.020029336,10,0.0012642741203308105,0.0010553559311956718,523.2420654296875,0.35625,0.9399276971817017,0.1,-0.047078732401132584,422.0659484863281,,
4,6,256,41,-14.92630615234375,0.014703865,15,0.00860452651977539,0.0010553559311956718,450.9568359375,0.2875,0.9395771622657776,0.1,-0.028076731041073798,359.0322265625,,
5,7,320,41,-14.917730522155761,0.0072640358,20,0.03487628698348999,0.0010553559311956718,534.4192626953125,0.19375,0.9386058449745178,0.1,-0.023233382124453784,427.0908203125,,
6,9,384,41,-14.908379745483398,0.007920999,25,0.053224384784698486,0.0010553559311956718,533.557568359375,0.14375,0.9380612969398499,0.1,-0.025735679641366006,425.5515441894531,,
7,10,448,41,-14.901623725891113,0.010208457,30,0.0067917704582214355,0.0010553559311956718,512.742041015625,0.209375,0.9374336004257202,0.1,-0.028752265125513078,408.39715576171875,,
8,12,512,40,-14.894823837280274,0.011610444,35,-0.004317760467529297,0.0010553559311956718,542.285498046875,0.159375,0.936964750289917,0.1,-0.022833966091275214,434.7893371582031,,
9,14,576,40,-14.889407348632812,0.006532494,40,0.07004261016845703,0.0010553559311956718,545.9804321289063,0.140625,0.936488687992096,0.1,-0.02344912998378277,438.5079650878906,,
10,15,640,41,-14.886199760437012,0.009498821,45,0.018036305904388428,0.0010553559311956718,566.3564086914063,0.153125,0.9367238879203796,0.1,-0.024168797209858893,453.66888427734375,,
11,17,704,40,-14.889625930786133,0.005977588,50,0.04514813423156738,0.0010553559311956718,602.7926635742188,0.15625,0.9368317127227783,0.1,-0.020088745467364787,482.7295227050781,,
12,18,768,40,-14.889368057250977,0.0049234247,55,-0.043135643005371094,0.0010553559311956718,614.5956420898438,0.103125,0.9367759227752686,0.1,-0.021620438620448112,491.9027099609375,96.0,-545.67926
13,20,832,41,-14.889027976989746,0.0069389995,60,0.0014690756797790527,0.0010553559311956718,554.36494140625,0.1375,0.9368278980255127,0.1,-0.02173880934715271,442.64190673828125,96.0,-545.67926
14,21,896,41,-14.889672088623048,0.0081605045,65,0.0008131861686706543,0.0010553559311956718,3338.96572265625,0.140625,0.9368908405303955,0.1,-0.01777413338422775,2727.580078125,96.0,-545.67926
15,23,960,41,-14.890074539184571,0.007881409,70,-0.2396543025970459,0.0010553559311956718,664.0608154296875,0.15625,0.936876654624939,0.1,-0.03070708308368921,543.8628540039062,96.0,-545.67926
16,24,1024,41,-14.889167022705077,0.006856692,75,-0.08483636379241943,0.0010553559311956718,531.2753784179688,0.140625,0.936694860458374,0.1,-0.023064128309488296,423.3205871582031,96.0,-545.67926
17,26,1088,41,-14.888088989257813,0.016146803,80,0.11446750164031982,0.0010553559311956718,580.5645874023437,0.203125,0.936924159526825,0.1,-0.03571959584951401,468.870849609375,96.0,-545.67926
18,27,1152,41,-14.889645385742188,0.011209999,85,0.1930537223815918,0.0010553559311956718,559.68779296875,0.20625,0.9365963339805603,0.1,-0.029978412203490734,452.40386962890625,96.0,-545.67926
19,29,1216,41,-14.881964683532715,0.0096653225,90,0.09378796815872192,0.0010553559311956718,432.04087524414064,0.15,0.9357039928436279,0.1,-0.02789093032479286,343.7669677734375,96.0,-545.67926
20,31,1280,41,-14.872111320495605,0.005778798,95,0.22549360990524292,0.0010553559311956718,568.302685546875,0.1125,0.9351174831390381,0.1,-0.024235660303384067,455.6033630371094,96.0,-545.67926
