time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
21,32,1344,41,-14.868131256103515,0.013563296,100,0.2590979337692261,0.0010553559311956718,510.63438720703124,0.203125,0.9351085424423218,0.1,-0.03429441675543785,406.1663818359375,96.0,-545.67926
22,34,1408,41,-14.86825008392334,0.0075114258,105,0.2502642273902893,0.0010553559311956718,522.681640625,0.14375,0.9350510239601135,0.1,-0.021277305483818055,408.6108703613281,96.0,-545.67926
23,35,1472,41,-14.868210411071777,0.0063774725,110,-0.07305526733398438,0.0010553559311956718,617.0478881835937,0.134375,0.9352191686630249,0.1,-0.021580737456679343,483.1501159667969,96.0,-545.67926
24,37,1536,41,-14.87231674194336,0.006011829,115,-0.04968392848968506,0.0010553559311956718,531.7088012695312,0.109375,0.9358346462249756,0.1,-0.025877072289586068,426.798583984375,96.0,-536.8971
25,38,1600,41,-14.88134307861328,0.0055588707,120,-0.02505815029144287,0.0010553559311956718,385.1479431152344,0.10625,0.9368134140968323,0.1,-0.023747197166085244,307.5508117675781,96.0,-536.8971
26,40,1664,41,-14.893320083618164,0.0121737,125,0.015914201736450195,0.0010553559311956718,3296.93408203125,0.190625,0.9378820657730103,0.1,-0.012371115013957023,2692.131103515625,96.0,-536.8971
27,42,1728,41,-14.905130386352539,0.0040039327,130,-0.48068976402282715,0.0010553559311956718,608.6531494140625,0.06875,0.93875652551651,0.1,-0.018692535534501075,481.4986572265625,96.0,-536.8971
28,43,1792,41,-14.913943099975587,0.0045204964,135,0.060160040855407715,0.0010553559311956718,422.3507080078125,0.109375,0.9393792748451233,0.1,-0.020618786662817003,323.9100341796875,96.0,-536.8971
29,45,1856,41,-14.92124252319336,0.003468547,140,0.18100059032440186,0.0010553559311956718,469.513671875,0.071875,0.9400272369384766,0.1,-0.01994785163551569,375.4641418457031,96.0,-536.8971
30,46,1920,41,-14.926616668701172,0.0042947326,145,-0.5894769430160522,0.0010553559311956718,577.4408935546875,0.08125,0.9400379061698914,0.1,-0.024685124307870863,457.3043212890625,96.0,-536.8971
31,48,1984,41,-14.925921630859374,0.008649002,150,-0.2017000913619995,0.0010553559311956718,469.79542236328126,0.153125,0.9400848746299744,0.1,-0.027245111763477325,370.24993896484375,96.0,-536.8971
32,49,2048,41,-14.927306747436523,0.009263655,155,-0.04882991313934326,0.0010553559311956718,416.90529174804686,0.16875,0.9402635097503662,0.1,-0.027531860023736955,333.4963684082031,96.0,-536.8971
33,51,2112,41,-14.930204582214355,0.008751333,160,-0.007533431053161621,0.0010553559311956718,489.68223266601564,0.146875,0.9406369924545288,0.1,-0.02209685817360878,387.7383117675781,96.0,-536.8971
34,52,2176,41,-14.934439086914063,0.010639642,165,-0.23996782302856445,0.0010553559311956718,558.025634765625,0.196875,0.9409801363945007,0.1,-0.031210878491401674,439.89923095703125,96.0,-536.8971
35,54,2240,41,-14.937442016601562,0.0076793907,170,-0.03347182273864746,0.0010553559311956718,487.6972595214844,0.16875,0.9410707354545593,0.1,-0.024981916695833207,393.3254699707031,96.0,-536.8971
36,56,2304,41,-14.93707218170166,0.009099979,175,0.03240311145782471,0.0010553559311956718,476.89422607421875,0.1625,0.9408945441246033,0.1,-0.027998045086860657,384.58135986328125,96.0,-524.22577
37,57,2368,41,-14.934051895141602,0.010809602,180,-0.008331537246704102,0.0010553559311956718,353.41318359375,0.184375,0.9405332207679749,0.1,-0.03204085379838943,283.982666015625,96.0,-524.22577
38,58,2432,41,-14.928232955932618,0.017547939,185,0.008749008178710938,0.0010553559311956718,3220.20341796875,0.25625,0.9399067163467407,0.1,-0.017091718316078187,2630.31201171875,96.0,-524.22577
39,60,2496,41,-14.921284294128418,0.01120638,190,-0.13010990619659424,0.0010553559311956718,644.2951782226562,0.18125,0.9394203424453735,0.1,-0.02287379987537861,526.2179565429688,96.0,-524.22577
40,62,2560,41,-14.916852951049805,0.002845602,195,-1.5021305084228516,0.0010553559311956718,693.9542114257813,0.053125,0.939215898513794,0.1,-0.006995178572833538,520.0950317382812,96.0,-524.22577
41,63,2624,41,-14.916137313842773,0.0017034737,200,0.03271573781967163,0.0010553559311956718,498.1246765136719,0.01875,0.9393781423568726,0.1,-0.016922757402062415,384.503173828125,96.0,-524.22577
42,65,2688,41,-14.920368766784668,0.0057956027,205,-0.20540153980255127,0.0010553559311956718,465.20538330078125,0.109375,0.939967155456543,0.1,-0.02429436817765236,371.1963806152344,96.0,-524.22577
43,66,2752,41,-14.928572273254394,0.005565121,210,-0.21096575260162354,0.0010553559311956718,489.1429443359375,0.1,0.940953254699707,0.1,-0.02272796183824539,388.57305908203125,96.0,-524.22577
44,68,2816,41,-14.937813186645508,0.006058897,215,-0.08863890171051025,0.0010553559311956718,443.28648681640624,0.140625,0.9411081671714783,0.1,-0.022491791844367982,357.7318420410156,96.0,-524.22577
45,69,2880,41,-14.937356948852539,0.008168576,220,0.04865354299545288,0.0010553559311956718,484.60154418945314,0.175,0.941087007522583,0.1,-0.023230187222361566,390.75872802734375,96.0,-524.22577
46,71,2944,41,-14.937529563903809,0.0057498403,225,-0.06387484073638916,0.0010553559311956718,560.937109375,0.159375,0.9410180449485779,0.1,-0.02184173874557018,448.33721923828125,96.0,-524.22577
47,72,3008,41,-14.935118484497071,0.013768119,230,0.0018032193183898926,0.0010553559311956718,606.6506469726562,0.24375,0.9406141042709351,0.1,-0.027419208735227584,489.8894348144531,96.0,-524.22577
48,74,3072,41,-14.931215858459472,0.0075543597,235,0.005135059356689453,0.0010553559311956718,533.0591674804688,0.153125,0.940430223941803,0.1,-0.018719425611197948,428.6634216308594,96.0,-522.8098
