time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates
4,-2845.1216,768,18,41,96.0,,,,,
8,-2845.1216,768,18,41,96.0,,,,,
12,-2833.2253,1536,37,40,96.0,1548.447265625,1.0789422988891602,0.0016174122696161997,0.009999999776482582,4
16,-2833.2253,1536,37,40,96.0,,,,,
20,-2573.3782,2304,57,40,96.0,1174.6795654296875,2.9712610244750977,0.0016174122696161997,0.009999999776482582,10
24,-2573.3782,2304,57,40,96.0,,,,,
28,-1916.3428,3072,77,39,96.0,624.0435180664062,5.154762268066406,0.0016174122696161997,0.009999999776482582,16
32,-1916.3428,3072,77,39,96.0,,,,,
