time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,1,64,41,,,,,,,,,,,,,
2,3,128,41,-14.915895462036133,0.0427472,5,0.0016419291496276855,0.0010553559311956718,3104.407958984375,0.51875,0.93941730260849,0.1,-0.051483086124062535,2541.3388671875,,
3,4,192,41,-14.919218444824219,0.033901528,10,-0.00427854061126709,0.0010553559311956718,495.66490478515624,0.428125,0.9388868808746338,0.1,-0.048380127549171446,399.5073547363281,,
4,6,256,41,-14.91309986114502,0.015784305,15,0.03317159414291382,0.0010553559311956718,477.1529235839844,0.284375,0.9387075901031494,0.1,-0.038684255257248876,380.8408508300781,,
5,7,320,41,-14.911823844909668,0.009863903,20,0.038670241832733154,0.0010553559311956718,520.8449462890625,0.215625,0.9384868741035461,0.1,-0.03315539862960577,416.8145751953125,,
6,9,384,41,-14.907536888122559,0.010028168,25,0.040968239307403564,0.0010553559311956718,523.0770324707031,0.228125,0.9380443096160889,0.1,-0.028445636853575706,418.7256774902344,,
7,10,448,41,-14.904044342041015,0.008617304,30,0.06469178199768066,0.0010553559311956718,508.5212463378906,0.175,0.9380624294281006,0.1,-0.027696531265974045,407.6327209472656,,
8,12,512,41,-14.906156921386719,0.007496738,35,0.06043720245361328,0.0010553559311956718,525.2729614257812,0.13125,0.9384536147117615,0.1,-0.0244246207177639,420.3289794921875,,
9,13,576,41,-14.909206199645997,0.008740253,40,0.06446820497512817,0.0010553559311956718,570.9302856445313,0.15,0.9383482336997986,0.1,-0.02544781006872654,456.9856872558594,,
10,15,640,41,-14.906247329711913,0.005858397,45,0.11060422658920288,0.0010553559311956718,582.012109375,0.109375,0.9380119442939758,0.1,-0.025056743621826173,466.00506591796875,,
11,16,704,41,-14.900939559936523,0.009608398,50,0.028700411319732666,0.0010553559311956718,615.9594482421875,0.171875,0.9373764395713806,0.1,-0.02421812657266855,495.5050964355469,,
12,18,768,41,-14.894346809387207,0.007285799,55,0.051334500312805176,0.0010553559311956718,590.2818237304688,0.153125,0.9370375275611877,0.1,-0.027501572296023367,474.9435729980469,96.0,-542.4269
